timestamp,cpu0,cpu1,cpu2,cpu3
2026-05-04T16:07:35.694249,5.1,4.0,8.0,4.1
2026-05-04T16:07:36.694656,3.0,0.0,1.0,1.0
2026-05-04T16:07:37.695035,2.0,2.0,6.0,3.0
2026-05-04T16:07:38.695395,1.0,1.0,0.0,0.0
2026-05-04T16:07:39.695786,0.0,1.0,1.0,1.0
2026-05-04T16:07:40.696346,1.0,0.0,1.0,1.0
2026-05-04T16:07:41.696813,1.0,1.0,0.0,0.0
2026-05-04T16:07:42.697222,0.0,0.0,1.0,0.0
2026-05-04T16:07:43.697661,1.1,1.0,0.0,0.0
2026-05-04T16:07:44.698113,3.3,2.2,0.0,0.0
2026-05-04T16:07:45.698511,0.0,1.0,0.0,0.0
2026-05-04T16:07:46.698973,1.0,0.0,2.0,2.0
2026-05-04T16:07:47.699437,8.7,7.6,1.0,0.0
2026-05-04T16:07:48.699880,8.0,6.9,1.0,1.1
2026-05-04T16:07:49.700304,2.1,4.0,0.0,0.0
2026-05-04T16:07:50.700689,4.0,1.0,0.0,0.0
2026-05-04T16:07:51.701097,25.3,24.2,2.2,2.1
2026-05-04T16:07:52.701475,20.7,22.1,3.2,2.2
2026-05-04T16:07:53.701946,0.0,0.0,0.0,0.0
2026-05-04T16:07:54.702335,15.7,14.9,3.1,0.0
2026-05-04T16:07:55.702945,43.5,40.0,4.4,2.2
2026-05-04T16:07:56.703345,27.9,25.2,4.3,1.1
2026-05-04T16:07:57.703720,0.0,0.0,0.0,1.0
2026-05-04T16:07:58.704296,36.1,36.4,3.2,2.2
2026-05-04T16:07:59.704970,53.5,53.8,7.5,3.4
2026-05-04T16:08:00.705376,21.7,21.0,2.1,1.1
2026-05-04T16:08:01.705830,0.0,0.0,1.0,0.0
2026-05-04T16:08:02.706190,59.5,60.5,8.0,2.3
2026-05-04T16:08:03.706726,61.4,62.5,8.0,3.4
2026-05-04T16:08:04.707260,5.0,4.0,2.0,0.0
2026-05-04T16:08:05.707798,20.2,18.3,3.1,2.1
2026-05-04T16:08:06.708356,71.8,66.7,11.0,4.8
2026-05-04T16:08:07.708983,55.5,53.5,5.9,4.5
2026-05-04T16:08:08.709402,1.0,0.0,2.0,1.0
2026-05-04T16:08:09.709957,45.8,42.5,3.3,2.2
2026-05-04T16:08:10.710612,80.2,77.0,8.2,5.9
2026-05-04T16:08:11.711150,40.7,38.7,2.2,3.2
2026-05-04T16:08:12.711528,0.0,0.0,0.0,0.0
2026-05-04T16:08:13.712065,69.9,71.0,7.1,4.9
2026-05-04T16:08:14.712863,84.0,84.3,6.2,8.9
2026-05-04T16:08:15.713327,16.8,15.8,0.0,1.0
2026-05-04T16:08:16.713823,12.0,11.0,3.0,1.0
2026-05-04T16:08:17.714361,91.3,87.6,6.0,8.3
2026-05-04T16:08:18.714899,85.1,80.6,3.6,11.5
2026-05-04T16:08:19.715312,1.0,0.0,0.0,0.0
2026-05-04T16:08:20.715868,40.4,40.2,4.4,3.2
2026-05-04T16:08:21.716446,99.0,97.0,6.8,5.9
2026-05-04T16:08:22.716960,59.6,58.6,4.7,5.5
2026-05-04T16:08:23.717335,0.0,0.0,2.0,0.0
2026-05-04T16:08:24.717960,69.3,70.0,4.9,6.0
2026-05-04T16:08:25.718726,100.0,98.0,6.8,10.1
2026-05-04T16:08:26.719220,30.3,30.3,3.3,5.3
2026-05-04T16:08:27.719589,0.0,0.0,0.0,0.0
2026-05-04T16:08:28.720069,99.0,98.0,8.8,9.3
2026-05-04T16:08:29.720699,99.0,100.0,9.8,11.8
2026-05-04T16:08:30.721202,2.0,2.0,0.0,1.0
