#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      227.9    83.0    93.8   145.3   157.1   218.6   247.3   263.9   275.2   290.2   308.6   336.1   395.5   624.8  3838.0  29972.3    30000  1776509992930  1776510003090
read      223.5    82.8    86.8   142.7   153.7   213.1   242.0   259.1   271.4   286.2   304.4   332.4   392.3   636.0  3212.0  30094.8    30005  1776510004603  1776510014727
read      217.1    80.6    86.8   141.0   151.5   207.3   234.8   251.1   263.0   275.7   293.5   318.5   372.4   530.1  2859.7  30000.9    30010  1776510016239  1776510026344
read      224.1    76.6    86.8   144.8   156.1   214.7   242.4   258.6   270.6   285.1   302.8   330.7   389.1   543.6  2996.6  29825.3    30015  1776510027856  1776510037962
read      225.0    80.5    86.8   144.2   155.6   215.9   243.9   260.0   271.3   285.6   303.5   331.0   389.4   662.9  2960.3  30024.5    30020  1776510039475  1776510049583
read      218.7    96.1    80.4   140.4   151.4   209.3   236.4   252.4   264.0   276.6   294.2   319.7   376.9   617.1  3318.7  29992.3    30025  1776510051096  1776510061194
read      231.4    85.3    80.4   148.6   160.1   221.0   249.9   266.8   278.9   293.9   313.2   342.3   404.9   673.4  3229.8  30110.8    30030  1776510062708  1776510072812
read      229.6    87.5    86.8   145.8   157.4   219.7   248.9   265.7   277.3   292.6   312.2   340.9   401.7   674.3  3556.7  30054.9    30035  1776510074326  1776510084428
read      229.7    87.4    86.8   146.4   158.6   220.6   248.7   265.1   276.4   291.2   309.7   337.6   396.5   615.8  3399.4  30003.9    30040  1776510085941  1776510096049
read      226.4    97.6    93.8   143.9   155.2   217.0   245.9   262.4   273.5   288.1   306.0   333.7   392.9   698.7  3211.2  30050.2    30045  1776510097563  1776510107669
read      232.0    81.4    86.8   144.1   156.6   224.2   253.7   270.1   282.1   295.7   314.3   342.0   402.3   589.6  2988.0  30107.1    30050  1776510109182  1776510119286
read      228.1    88.4    86.8   141.9   153.7   217.7   247.9   265.4   277.8   293.1   313.0   342.6   408.9   626.2  3206.5  30074.3    30055  1776510120800  1776510130900
read      227.4    88.3    86.8   143.0   154.6   216.8   246.7   264.1   275.9   291.8   311.6   341.3   404.0   618.1  3312.4  30069.7    30060  1776510132413  1776510142515
read      241.1   105.0    93.8   149.6   162.4   229.1   259.4   276.1   289.6   305.2   324.8   358.3   445.4  1443.3  3216.5  30157.2    30065  1776510144029  1776510154133
read      253.0   108.5    86.8   155.0   168.7   240.3   272.6   291.6   305.9   322.6   344.7   379.9   464.8  1405.9  3935.9  30049.6    30070  1776510155649  1776510165751
read      230.6    92.6    93.8   148.6   159.7   219.7   248.3   265.0   276.6   292.1   311.9   341.5   405.8   897.2  4072.1  29984.7    30075  1776510167263  1776510177368
read      239.2   142.6    93.8   150.0   161.6   223.0   252.6   270.1   283.1   298.2   318.7   351.8   455.4  2509.2  4989.7  30100.5    30080  1776510178883  1776510188991
read      239.3   107.4   101.3   151.9   163.3   224.6   254.0   272.3   286.7   303.7   325.1   359.9   445.8  1604.4  3866.8  30112.6    30085  1776510190503  1776510200606
read      243.7   129.8   101.3   155.8   167.4   228.1   257.3   274.1   287.5   302.9   322.9   357.3   452.2  2136.4  4652.7  30192.7    30090  1776510202119  1776510212220
read      240.2   109.6   101.3   152.7   164.1   225.0   254.3   271.9   285.6   301.7   323.1   359.8   466.8  1540.6  3442.2  30065.9    30095  1776510213732  1776510223844
read      239.0   119.0   101.3   152.9   164.2   223.1   252.3   270.3   284.0   300.2   321.6   358.3   456.1  1634.4  4932.1  30147.5    30100  1776510225357  1776510235464
read      240.5   145.9    86.8   151.5   162.5   222.0   251.6   269.4   282.9   299.0   320.5   356.8   472.7  2582.2  4738.9  30041.1    30105  1776510236977  1776510247077
read      247.6   128.7    93.8   155.3   167.2   231.0   262.3   280.4   294.3   311.9   335.0   371.5   471.8  1874.1  5317.0  30129.2    30110  1776510248589  1776510258689
read      242.3    89.9   101.3   156.0   167.8   230.8   260.5   277.8   291.6   308.0   328.8   361.8   428.5   619.9  3037.7  30062.2    30115  1776510260201  1776510270302
read      237.7    92.8   101.3   156.1   167.5   225.9   253.8   270.7   283.7   298.9   319.2   350.7   417.9   838.9  3125.9  30211.5    30120  1776510271815  1776510281913
read      238.9    99.9    93.8   150.8   163.2   228.0   257.4   274.1   287.5   302.7   321.9   353.8   425.1  1022.3  3915.1  30075.4    30125  1776510283426  1776510293523
read      232.3    82.2    93.8   149.9   161.5   222.3   250.7   267.6   279.7   294.6   313.9   342.2   402.3   660.5  2962.3  30234.5    30130  1776510295036  1776510305137
read      239.1    91.7    93.8   152.3   164.5   229.7   259.5   275.7   288.7   303.2   320.9   350.0   414.0   624.7  3608.1  30159.6    30135  1776510306649  1776510316756
read      239.1    87.9    86.8   150.0   162.8   229.1   259.5   276.4   289.8   305.2   323.8   354.4   420.9   728.6  3187.7  30160.4    30140  1776510318271  1776510328373
read      248.8   154.8    93.8   152.9   165.4   231.5   263.1   281.3   294.8   311.8   333.6   368.6   475.3  2777.0  6018.1  30139.2    30145  1776510329885  1776510339992
read      265.1   254.3    93.8   152.7   164.7   230.0   262.4   281.9   296.4   315.3   341.0   390.0  1070.5  4037.2  6281.6  30126.6    30150  1776510341505  1776510351606
read      253.1   152.3    93.8   153.9   166.9   235.8   268.0   286.8   300.6   317.6   340.7   376.9   498.8  2596.4  5749.5  30155.4    30155  1776510353118  1776510363217
read      253.5   172.4    93.8   153.6   166.4   233.7   265.1   283.3   296.5   313.6   335.9   372.3   529.8  2700.5  6168.7  30165.9    30160  1776510364729  1776510374829
read      233.5    94.1    93.8   147.8   159.7   222.8   252.7   270.1   282.9   297.4   317.5   346.5   415.1   729.2  3102.2  30229.2    30165  1776510376340  1776510386450
read      234.6    91.4    93.8   149.1   161.1   225.3   254.2   271.0   283.5   297.3   316.5   344.5   404.2   630.8  3789.3  30168.8    30170  1776510387963  1776510398069
read      242.9    85.1    86.8   152.4   165.9   233.5   263.9   281.1   293.8   309.3   328.2   357.3   418.6   673.8  3133.6  30173.1    30175  1776510399581  1776510409683
