Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777311322665
Timestamp end: 1777313122976

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.4   147.2    86.8   163.4   177.7   231.3   253.5   267.4   277.1   291.5   311.0   343.7   434.4  1673.4  7581.9   6879.5     6927
read      334.7   217.0    80.4   131.8   149.9   301.5   386.4   431.3   462.7   498.6   542.1   610.7   789.7  2856.0  6857.6  52795.1    52892
read      296.3   333.3    80.4   131.3   145.7   241.1   295.3   324.9   346.3   372.9   409.5   487.3  1644.3  4280.8  7979.9  98834.1    98921
read      270.1   126.8    80.4   129.4   143.4   252.8   309.0   338.8   360.7   386.7   419.9   469.7   587.2   897.1  2824.2  60992.7    61129
read      300.8   136.7    74.4   134.0   151.4   289.6   350.2   381.7   403.2   428.9   460.7   506.5   613.8   908.2  3132.5  40653.3    40613
read      322.8   172.2    80.4   133.4   151.6   299.6   375.6   415.4   443.0   475.1   515.2   578.2   730.1  1410.6  4756.6  53175.4    53226
read      299.2   121.8    74.4   132.9   150.8   290.2   348.8   379.7   400.7   425.5   456.1   501.7   602.9   829.1  1671.2  38572.9    38560
read      334.1   423.6    80.4   137.0   153.0   260.8   315.4   346.4   370.6   401.1   449.7   575.8  2622.7  5385.1  8073.1 103579.4   103465
read      276.9   199.5    80.4   133.8   149.1   246.0   298.2   327.2   347.8   372.8   406.1   466.9   799.2  3069.4  5316.9 104869.2   104758
read      265.3   168.6    80.4   130.1   144.2   237.5   291.7   320.4   341.3   365.5   396.3   448.9   680.3  2390.6  4348.7  94739.9    94759
read      321.4   237.9    80.4   133.2   151.3   291.3   356.2   391.2   415.8   444.2   481.2   541.7  1044.4  3157.7  7562.8  37749.3    37799
read      246.2   110.5    86.8   153.0   168.1   234.5   262.3   277.4   289.6   303.9   323.2   361.4   503.6  1216.4  3739.9   8287.5     8296
read      312.9   336.3    74.4   128.0   141.7   254.0   317.9   357.2   388.2   427.4   481.1   582.5  1470.5  4968.4  8090.6  69576.7    69443
read      268.2   170.7    80.4   149.5   168.2   253.9   288.5   307.3   320.2   337.5   359.9   397.5   567.6  2026.8  7671.2  12497.3    12517
read      317.7   158.1    74.4   132.6   150.8   299.2   372.1   409.5   434.9   464.4   500.8   553.1   679.5  1463.7  3176.5  43516.5    43591
read      282.0   121.6    86.8   143.4   163.6   277.1   317.0   338.3   353.5   371.3   395.2   431.4   520.7   890.8  4472.9  20473.5    20430
read      306.3   378.2    80.4   132.3   146.9   243.6   297.7   327.5   349.0   375.2   412.6   491.4  2437.9  4685.6  7930.9  93789.3    93758
read      262.7   120.3    93.8   158.5   176.5   254.4   285.4   302.3   314.9   330.1   349.0   380.6   460.2  1054.5  5348.6  10526.2    10485
read      285.8   134.0    86.8   148.4   169.0   274.0   315.2   337.5   353.4   372.0   397.1   437.2   646.2  1573.0  3088.9  16530.4    16518
