#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      268.0   113.5    80.4   147.5   161.7   252.9   303.3   328.4   345.3   365.6   390.4   427.7   508.7   901.6  3906.3  29934.2    30000  1775575160008  1775575170151
read      270.9   113.7    93.8   152.8   166.9   254.0   303.6   328.7   345.5   365.9   391.1   429.2   518.7  1255.1  3553.8  29968.1    30005  1775575171665  1775575181786
read      258.2   144.9    93.8   143.2   156.0   234.4   284.6   311.8   330.2   350.8   377.1   417.3   511.9  1985.2  5400.8  30026.0    30010  1775575183299  1775575193400
read      270.7   136.1    86.8   143.9   158.5   252.6   305.2   331.8   350.2   372.1   399.2   438.1   539.3  1398.3  5003.2  29981.6    30015  1775575194912  1775575205012
read      251.7   114.9    86.8   142.0   154.2   231.6   279.9   307.7   326.0   346.0   372.0   410.4   489.8   921.4  3811.5  30036.1    30020  1775575206527  1775575216626
read      273.3   111.2    86.8   148.3   163.1   259.2   309.2   334.7   352.1   372.3   398.5   437.6   529.5   783.9  3485.7  30096.9    30025  1775575218139  1775575228238
read      252.2   106.9    86.8   140.5   153.4   232.4   281.3   308.7   326.7   346.5   372.0   411.2   499.4   936.2  3083.0  29968.3    30030  1775575229751  1775575239852
read      264.1   103.1    86.8   150.7   164.0   247.2   295.9   321.3   339.1   359.2   384.0   421.8   503.1   739.9  3212.2  29999.1    30035  1775575241365  1775575251464
read      259.4   111.9    86.8   141.8   155.9   243.4   293.7   318.5   335.5   354.8   378.8   417.2   500.3   859.6  3816.0  30016.6    30040  1775575252976  1775575263077
read      269.9   108.8    93.8   150.0   163.9   254.9   305.7   330.4   346.6   367.0   392.4   430.0   513.3   768.9  3100.9  30033.2    30045  1775575264590  1775575274690
read      257.7   102.2    86.8   146.8   160.7   240.3   287.3   313.1   330.4   349.5   374.1   413.2   498.2   713.7  2993.0  29988.5    30050  1775575276205  1775575286320
read      252.1   105.1    86.8   139.7   152.6   235.1   282.8   308.7   325.7   344.9   370.4   409.4   494.1   714.3  3802.1  30043.3    30055  1775575287832  1775575297932
read      270.5   139.7    86.8   149.0   162.4   250.1   300.5   326.6   344.4   365.7   393.3   435.2   579.5  1433.9  5488.2  30124.6    30060  1775575299446  1775575309567
read      270.8   160.4    86.8   150.5   164.1   248.8   298.0   324.3   341.9   363.1   390.4   433.2   586.9  1698.1  6407.2  30029.2    30065  1775575311086  1775575321200
read      264.3   144.0    86.8   145.9   159.9   243.8   291.8   318.0   336.3   357.5   384.6   427.7   561.7  1179.0  6158.6  30011.4    30070  1775575322717  1775575332827
read      279.6   137.7    86.8   153.0   168.1   262.7   310.9   335.5   352.9   373.5   401.1   446.6   594.4  1194.9  5061.8  30123.6    30075  1775575334343  1775575344451
read      265.0   138.3    86.8   148.4   162.1   246.4   293.0   317.9   335.8   356.4   382.5   424.7   543.7  1110.0  5007.0  30138.8    30080  1775575345971  1775575356100
read      264.9   118.5    93.8   150.1   163.5   247.3   294.5   319.3   337.0   357.2   382.5   423.0   532.1   986.1  4506.9  30130.5    30085  1775575357617  1775575367725
read      264.3   136.8    86.8   149.1   162.0   244.7   293.2   318.8   336.5   356.7   382.2   423.8   537.3  1218.3  5105.5  29991.8    30090  1775575369239  1775575379357
read      262.9   125.6    93.8   146.7   160.2   243.6   292.2   318.4   336.6   357.2   383.0   424.4   533.9  1064.4  4776.3  30071.4    30095  1775575380877  1775575390986
read      265.3   120.5    93.8   148.1   161.9   247.7   297.0   322.3   340.0   360.5   386.1   425.9   529.9   889.5  4206.2  30039.8    30100  1775575392501  1775575402625
read      269.4   190.3    86.8   146.7   161.0   248.2   295.3   320.3   337.9   358.5   385.3   429.3   587.8  1951.6  7530.6  30111.9    30105  1775575404153  1775575414287
read      264.5   137.0    86.8   145.9   159.8   245.5   294.2   320.2   338.2   358.7   384.5   424.9   541.8  1139.1  5821.6  29994.2    30110  1775575415807  1775575425923
read      265.3   116.4    86.8   145.4   160.0   247.8   299.8   325.9   343.0   363.1   388.0   425.9   512.0   976.6  4392.0  30049.1    30115  1775575427441  1775575437547
read      266.0   136.6    86.8   147.9   162.1   248.9   296.6   322.0   339.4   359.9   385.9   426.3   527.3   913.6  4359.5  30162.9    30120  1775575439062  1775575449167
read      262.1   123.4    86.8   143.8   158.1   245.0   292.7   317.9   335.2   354.8   379.4   419.6   519.6  1371.6  4164.3  30154.9    30125  1775575450683  1775575460788
read      256.3   120.3    86.8   143.9   157.7   239.5   284.3   309.1   325.7   344.3   369.1   407.6   511.7   940.9  4214.8  30120.9    30130  1775575462303  1775575472426
read      258.5   108.3    86.8   146.5   159.6   241.0   289.4   315.1   332.4   351.5   375.2   413.9   500.7   817.3  3557.3  30093.3    30135  1775575473942  1775575484048
