Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1775302713708
Timestamp end: 1775304514008

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      265.4   117.2    80.4   129.0   142.8   246.3   300.2   332.2   355.5   382.7   416.4   465.5   573.4   759.2  2497.4  61518.5    61431
read      267.4   140.9    74.4   126.6   140.0   235.2   291.6   327.1   354.5   388.9   434.9   513.7   705.1  1107.1  2647.5  87095.6    87172
read      326.7   290.8    74.4   135.9   151.8   254.1   314.0   354.7   389.6   439.5   534.9   763.1  1555.4  3100.4  7439.2 108201.6   108181
read      266.7   130.5    74.4   126.9   140.2   237.8   294.6   329.7   356.6   389.3   431.6   501.4   667.6  1020.3  2492.2  80520.3    80515
read      272.2   106.8    80.4   135.9   151.9   261.1   311.5   338.8   358.2   380.0   405.7   445.1   521.9   688.8  2013.3  37247.4    37149
read      273.4   108.5    80.4   151.3   168.4   262.1   303.3   326.6   343.2   363.5   388.8   427.3   507.6   846.7  3429.3  13426.7    13444
read      439.0   822.3    80.4   128.1   143.4   250.4   314.3   361.2   397.0   441.4   509.4  1331.2  4865.4  7965.5  9910.7  72015.7    72057
read      279.4   154.2    74.4   124.9   138.7   248.0   316.4   358.3   387.0   418.6   457.4   516.1   664.4  1431.4  4044.8  70141.3    70041
read      276.7   166.2    80.4   128.2   141.9   237.8   295.9   333.5   363.1   400.1   453.4   546.8   797.8  1663.5  4250.2  90192.5    90162
read      265.9   108.6    74.4   131.1   145.7   251.4   303.3   332.8   354.0   378.3   407.5   451.9   539.8   686.6  2285.1  52101.7    52082
read      293.5   112.4    74.4   145.1   164.4   279.9   335.7   365.5   386.0   408.4   436.3   477.6   562.4   842.4  2281.6  24234.5    24258
read      314.0   415.5    80.4   128.9   143.4   247.9   307.5   345.7   375.2   410.3   457.6   543.8  1761.0  6456.6  8754.7  72029.5    72013
read      267.1   117.5    74.4   130.5   144.7   249.2   303.3   334.8   357.6   383.9   415.7   461.6   557.2   736.7  3200.4  58124.3    58012
read      272.9   110.6    80.4   137.8   153.4   261.3   310.9   338.4   358.2   380.7   407.5   447.9   528.8   685.9  2876.9  45374.3    45398
read      270.6   113.4    74.4   134.1   149.2   256.5   308.4   338.0   359.2   383.3   412.4   455.4   542.5   734.8  1919.8  50188.9    50177
read      278.0   104.5    80.4   140.8   157.3   267.2   318.0   345.5   364.9   386.2   411.3   448.9   523.7   692.0  2164.5  34488.3    34504
read      284.8   157.4    74.4   128.8   142.7   253.4   321.0   362.3   390.9   423.0   462.7   524.6   678.3  1569.2  4380.7  65923.5    66010
read      264.5   124.4    74.4   128.1   141.5   239.2   294.5   328.8   354.6   385.1   423.6   482.6   610.8   837.1  2967.1  73900.7    73937
read      268.4   114.9    74.4   131.6   146.1   251.5   304.9   335.8   358.0   383.7   415.0   461.1   558.4   766.6  2553.2  55053.4    55020
read      268.1   110.4    80.4   132.0   146.9   252.1   305.1   335.5   357.7   383.2   413.9   458.1   547.1   721.9  2023.4  53245.6    53235
read      287.5   190.0    74.4   130.2   144.4   240.1   298.2   337.0   368.1   409.7   474.5   602.5   940.7  2075.3  4065.2  97671.7    97743
read      244.5    94.3    93.8   161.8   174.4   234.0   260.6   275.0   287.3   300.8   319.1   349.5   428.4   914.9  3596.7   5401.9     5419
read      289.2   106.5    86.8   159.4   177.7   277.5   325.0   350.4   368.2   388.2   411.6   447.0   521.2   843.7  3487.1  14694.7    14764
read      255.3    85.7    86.8   161.9   176.0   246.0   275.5   293.2   306.4   320.9   342.4   374.2   448.9   854.2  2730.8   7464.0     7451
read      292.8   161.1    74.4   133.5   149.6   268.9   333.7   369.5   393.8   421.3   456.0   510.3   647.3  1467.9  5365.4  48159.9    48208
read      286.6    98.7    80.4   154.3   173.4   275.4   323.4   348.8   366.7   386.9   410.8   447.6   520.9   804.4  2109.1  16150.1    16149
read      348.0   574.1    74.4   128.4   142.5   243.4   300.8   339.6   370.4   408.7   463.7   587.4  3341.1  7561.9  9937.9  79018.7    78989
read      287.8   101.0    86.8   152.8   171.8   276.1   324.1   350.8   369.8   391.3   417.2   455.3   534.5   721.3  1834.1  18894.5    18886
read      354.3   594.5    80.4   128.5   142.7   243.7   301.2   340.3   371.2   409.5   464.2   590.0  3567.3  7624.2  9997.3  75975.3    75954
read      270.3   103.7    80.4   135.5   151.0   258.8   308.2   335.6   355.2   377.7   404.7   446.7   532.1   685.7  1991.2  44296.3    44409
read      277.4   139.6    86.8   152.3   170.5   264.7   307.7   332.4   349.6   370.1   395.7   433.1   513.3   859.0  4349.6  16390.8    16431
read      415.6   667.2    74.4   136.1   152.7   262.6   328.5   376.8   420.6   486.4   602.8  1003.6  3893.1  7745.3  9411.2  85658.5    85707
read      266.0   124.6    80.4   130.0   144.2   248.4   300.7   331.7   353.7   379.4   410.9   458.4   561.0   874.4  2947.4  58316.0    58253
read      296.2   204.9    80.4   131.5   146.2   244.3   302.3   341.2   373.5   420.3   497.9   646.1  1026.2  2056.2  4619.9 103918.3   103867
read      284.6   108.6    80.4   149.3   168.5   272.0   318.7   345.0   364.6   386.7   413.6   454.3   538.8   845.4  3016.6  21734.4    21604
read      313.1   415.4    74.4   127.9   141.6   240.0   297.5   336.3   367.2   406.8   465.1   577.4  1735.5  6133.8  8982.9  90482.8    90401
read      266.6   136.1    74.4   126.8   140.3   236.1   292.9   328.2   355.0   388.2   431.7   503.6   670.1  1080.7  2996.6  84423.0    84467
read      291.3   190.2    74.4   130.8   145.1   242.1   300.8   339.6   370.9   413.9   483.4   622.2  1007.1  1865.5  3364.6  99611.3    99700
read      280.8   122.5    80.4   143.6   161.2   269.5   316.0   341.5   360.1   381.2   406.7   446.9   538.0  1130.6  3397.7  32023.9    32052
read      280.3   130.2    86.8   154.6   174.3   265.9   304.1   326.5   343.0   364.1   391.2   433.6   559.8  1606.9  3538.5  18210.7    18173
read      320.6   211.7    80.4   132.2   148.1   270.5   353.4   401.9   437.4   481.3   539.3   636.3   932.4  2488.3  4928.4  67798.4    67789
read      290.1   145.8    74.4   133.5   149.5   265.9   330.0   365.8   390.6   418.7   454.0   509.3   659.6  1291.1  3539.3  51941.9    51929
read      304.8   194.7    74.4   130.5   145.2   254.5   331.4   381.8   418.4   462.3   523.4   624.7   865.6  1865.6  4515.8  83747.1    83850
read      296.0   125.9    86.8   152.2   173.5   283.1   333.2   360.4   379.1   399.9   426.3   464.2   558.9  1388.5  3218.1  18663.9    18614
read      316.8   143.7    74.4   144.0   165.5   300.4   367.4   399.0   420.8   445.2   475.4   527.4   641.0  1454.1  3597.6  29292.0    29315
read      419.1   632.8    74.4   140.4   158.3   269.2   328.4   369.0   404.6   464.4   592.8  1309.5  3444.0  7535.1  9266.6 108155.5   108090
read      304.6   130.5    80.4   146.2   166.1   288.6   348.5   380.2   401.5   426.9   458.2   504.1   603.0   995.3  3218.8  27001.5    27024
read      288.1   154.0    74.4   131.7   147.3   264.7   328.7   364.0   388.3   415.6   450.2   504.0   645.7  1313.0  3972.5  49953.1    49907
read      259.8   107.6    86.8   156.8   172.5   248.5   281.9   300.8   315.7   333.9   357.2   393.1   471.8   860.4  5183.4   9156.7     9150
read      315.9   129.4    80.4   143.1   163.6   302.0   368.3   400.7   423.2   448.8   481.3   533.7   635.9   805.5  2470.4  34342.2    34328
read      347.2   170.5    74.4   137.2   158.4   322.3   405.6   450.4   483.0   522.0   568.7   634.5   783.3  1283.8  3048.6  51959.5    51881
read      282.0   105.2    86.8   157.2   176.7   272.8   314.1   336.7   352.6   370.9   394.2   428.8   504.2   793.0  2652.1  14599.0    14569
read     1014.9  1632.3    74.4   158.0   179.5   257.8   313.0   664.0  1572.8  2609.7  3536.4  4683.5  7548.9  9702.3 11943.9  81317.4    81517
read     1025.9  1682.9    74.4   158.6   179.9   258.3   312.7   543.6  1533.9  2619.6  3571.0  4815.8  7797.4 10141.1 11887.6  78705.7    78694
read     1023.4  1679.5    74.4   159.1   180.4   259.1   314.0   565.1  1534.9  2605.6  3535.4  4794.3  7782.3 10271.0 12660.2  93462.3    93409
read      957.5  1593.6    80.4   150.1   169.4   256.3   340.7   786.2  1345.1  2126.5  3021.2  4307.2  7837.6 10048.5 13929.6  39082.0    39093
read      509.2   924.5    74.4   139.3   156.7   270.4   347.6   399.7   451.8   579.0   894.9  1662.6  5719.0  8201.7 11025.4  18777.3    18729
read      999.9  1595.7    74.4   157.3   178.3   258.8   319.7   843.4  1550.6  2562.5  3393.3  4463.3  7559.7  9813.8 11957.5  70809.4    70818
read      327.6   324.8    80.4   150.2   170.3   291.0   346.8   375.6   395.6   418.9   449.4   505.0  1190.6  5682.6  8133.2  21922.0    21942
read     1014.3  1640.9    74.4   158.7   180.1   258.1   312.3   609.5  1551.2  2606.9  3541.6  4721.2  7570.1  9891.5 12150.7  91716.0    91810
read      905.7  1480.0    74.4   150.1   170.5   267.4   381.8   730.7  1222.7  1878.3  2774.6  3995.6  7660.3  9714.0 12506.7  39600.8    39588
read      324.6   142.1    74.4   139.7   160.3   308.6   380.1   415.9   440.4   468.9   507.3   564.6   672.7   866.4  2525.8  40842.4    40957
read      467.5   379.8    74.4   142.0   165.3   376.7   511.2   587.9   642.2   715.2   825.7  1083.9  1915.0  3625.7  7713.4  62564.6    62645
read      291.7   122.6    86.8   159.3   179.7   282.3   326.5   350.1   367.0   386.5   409.5   445.4   527.1   799.7  3083.1  15572.7    15539
read     1012.8  1637.0    74.4   159.2   180.6   258.5   312.9   588.1  1564.8  2612.5  3514.1  4695.6  7567.7 10010.1 12327.3 107680.6   107672
read     1075.5  1746.2    80.4   159.6   179.9   261.4   324.7   979.0  1684.9  2671.3  3613.1  4987.7  7926.6 10046.3 13376.1  33017.3    32954
read      894.3  1324.8    74.4   148.7   167.8   265.8   454.7  1019.8  1423.8  2006.1  2744.4  3666.0  6633.0  8777.8 10821.9  58878.6    58866
read      306.4   150.8    80.4   150.0   170.5   293.1   349.6   377.5   396.4   418.2   444.9   488.1   598.4  1627.7  6817.2  23703.8    23739
read      361.2   190.7    74.4   139.4   161.3   332.8   420.1   467.9   504.5   545.0   594.2   667.5   854.9  1467.5  3935.4  54686.0    54701
read      419.3   265.9    74.4   141.5   165.0   365.4   479.1   544.7   590.7   642.1   718.4   858.3  1332.0  2161.6  5970.8  60790.1    60706
read     1015.8  1624.7    74.4   158.6   179.8   259.0   317.4   832.7  1596.4  2595.3  3468.4  4602.8  7625.6  9808.3 12292.3  72352.1    72350
read      753.1  1132.5    74.4   147.2   168.2   292.9   487.8   688.5   917.8  1322.9  2036.8  3171.1  5699.7  8322.7 10566.1  58662.0    58661
read      314.4   131.8    74.4   141.4   161.8   301.3   367.0   399.0   421.4   446.7   478.4   531.0   632.5   809.6  3013.5  34986.8    34912
read     1013.2  1635.2    80.4   159.1   180.5   259.0   314.7   666.3  1558.2  2606.9  3505.5  4653.8  7626.6  9889.4 11968.3 103345.9   103268
read     1064.4  1742.3    80.4   159.3   180.2   260.6   320.3   879.9  1622.1  2643.3  3616.1  4955.5  7929.5 10541.0 13702.3  38706.3    38703
read     1030.0  1686.3    74.4   160.8   182.0   260.7   316.4   656.7  1552.4  2613.1  3534.0  4783.5  7804.5 10518.6 13109.8  83405.7    83358
