#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      260.3   115.0    93.8   146.2   159.9   242.7   290.1   315.0   332.5   352.5   378.0   420.0   512.2   796.4  3403.1  30034.8    30000  1775573825405  1775573835605
read      267.4   132.3    93.8   152.1   165.3   247.2   295.9   321.3   339.2   360.5   387.2   427.2   525.0  1603.4  4399.3  29982.8    30005  1775573837121  1775573847268
read      262.8   112.5    86.8   144.3   157.6   243.8   295.6   321.8   340.5   362.4   389.4   428.8   519.3   974.3  3196.4  30141.9    30010  1775573848782  1775573858886
read      270.0   111.1    93.8   147.1   161.0   253.3   305.1   331.6   350.0   371.4   398.4   437.0   530.4   894.9  3392.7  30137.1    30015  1775573860400  1775573870503
read      262.6   110.1    86.8   149.9   162.3   241.9   294.1   321.5   340.4   361.7   387.7   425.5   503.7   862.8  3568.5  30050.6    30020  1775573872018  1775573882129
read      259.2   112.6    93.8   145.9   158.8   240.9   290.3   316.7   334.8   355.2   380.2   418.6   498.6   846.2  3868.2  30092.5    30025  1775573883642  1775573893744
read      254.7   110.6    86.8   143.7   157.2   238.3   285.1   309.7   326.1   344.4   368.7   403.9   488.3   957.3  3599.6  30051.0    30030  1775573895257  1775573905358
read      260.2   110.8    93.8   145.1   159.0   243.8   292.6   317.4   334.5   353.7   377.6   415.9   501.2   802.4  4002.7  30110.6    30035  1775573906872  1775573916971
read      262.0   117.5    80.4   149.1   162.2   245.4   293.8   318.3   335.2   354.2   377.5   414.5   500.0   947.5  4069.7  30025.0    30040  1775573918484  1775573928586
read      259.9   103.0    86.8   146.4   160.1   244.2   291.7   316.1   332.9   351.8   375.0   413.4   501.9   791.6  3140.9  30057.1    30045  1775573930103  1775573940213
read      261.9   111.2    86.8   146.7   160.6   245.7   295.0   319.0   336.0   355.2   379.2   416.8   506.0   842.2  3419.1  30108.2    30050  1775573941727  1775573951833
read      261.1   107.4    93.8   150.1   163.5   244.9   290.5   315.1   332.0   350.5   374.4   413.9   504.7   807.2  4093.2  30004.2    30055  1775573953347  1775573963451
read      266.4   114.3    86.8   150.7   164.4   249.7   297.6   322.3   339.6   359.6   384.8   423.9   518.1   945.2  3969.9  30060.5    30060  1775573964966  1775573975072
read      268.1   127.6    86.8   149.5   163.3   249.0   296.1   320.8   338.7   359.5   386.2   428.7   559.5  1625.7  4163.4  30055.2    30065  1775573976587  1775573986694
read      268.2   133.4    86.8   148.4   162.4   250.9   300.0   324.8   342.0   362.3   387.7   427.5   544.7  1076.8  6056.2  29999.5    30070  1775573988211  1775573998326
read      279.4   206.8    86.8   148.7   163.6   259.0   307.9   332.7   349.3   370.1   397.0   440.7   600.6  2503.2  8133.8  30062.2    30075  1775573999840  1775574009949
read      267.8   137.0    80.4   144.7   159.8   250.8   298.1   322.3   339.8   360.5   387.2   429.2   565.8  1138.7  5465.0  30087.1    30080  1775574011467  1775574021580
read      271.7   140.8    93.8   153.5   167.6   252.3   299.8   324.1   341.4   361.9   387.9   428.5   575.4  1418.2  6056.2  30152.1    30085  1775574023097  1775574033219
read      271.1   120.6    86.8   148.9   163.9   255.8   302.5   326.6   343.6   364.5   390.7   431.6   551.4  1039.8  4167.8  30161.7    30090  1775574034743  1775574044858
read      254.3   137.4    86.8   139.8   152.5   234.1   281.1   306.9   323.9   344.0   370.4   411.7   549.9  1380.4  5001.2  30046.7    30095  1775574046376  1775574056522
read      258.9   108.8    93.8   148.4   161.2   240.4   287.9   312.9   329.9   348.8   373.1   412.7   527.5   890.9  3481.3  30036.6    30100  1775574058042  1775574068149
read      262.7   110.9    86.8   149.1   162.6   246.6   293.8   318.0   334.8   353.6   377.2   415.6   509.8   834.3  3453.7  30145.7    30105  1775574069669  1775574079781
read      264.1   127.8    86.8   145.1   159.7   247.5   294.8   319.4   336.8   356.9   382.2   421.1   518.5  1050.6  4971.5  30145.5    30110  1775574081299  1775574091406
read      257.0   120.6    86.8   142.5   155.9   237.4   286.0   311.8   328.8   347.6   372.8   412.4   511.5  1659.1  3809.7  30155.6    30115  1775574092923  1775574103055
read      265.1   118.6    93.8   147.5   161.9   248.9   296.0   320.6   338.1   358.1   383.2   422.5   520.2   942.5  4177.2  30055.0    30120  1775574104569  1775574114680
