timestamp,cpu0,cpu1,cpu2,cpu3
2026-05-04T16:13:37.011737,4.1,28.6,4.0,5.1
2026-05-04T16:13:38.012237,3.0,2.0,7.1,1.0
2026-05-04T16:13:39.012617,0.0,0.0,0.0,0.0
2026-05-04T16:13:40.012956,4.9,5.1,4.0,4.0
2026-05-04T16:13:41.013331,0.0,0.0,1.0,1.0
2026-05-04T16:13:42.013911,1.0,0.0,0.0,0.0
2026-05-04T16:13:43.014277,1.0,0.0,0.0,0.0
2026-05-04T16:13:44.014658,0.0,1.0,0.0,0.0
2026-05-04T16:13:45.015143,0.0,0.0,2.0,0.0
2026-05-04T16:13:46.015516,0.0,2.2,1.0,1.0
2026-05-04T16:13:47.015890,2.2,0.0,0.0,1.1
2026-05-04T16:13:48.016270,1.0,3.0,0.0,0.0
2026-05-04T16:13:49.016802,2.0,1.0,0.0,0.0
2026-05-04T16:13:50.017181,11.1,11.1,0.0,1.1
2026-05-04T16:13:51.017563,10.9,9.8,2.1,0.0
2026-05-04T16:13:52.017961,0.0,0.0,0.0,1.0
2026-05-04T16:13:53.018350,13.3,14.0,1.0,0.0
2026-05-04T16:13:54.018882,29.0,29.7,2.2,2.1
2026-05-04T16:13:55.019269,16.2,16.2,3.1,1.0
2026-05-04T16:13:56.019634,0.0,0.0,0.0,0.0
2026-05-04T16:13:57.020050,36.0,34.9,3.2,3.2
2026-05-04T16:13:58.020434,46.9,44.1,4.3,1.1
2026-05-04T16:13:59.020903,14.4,12.7,2.0,2.0
2026-05-04T16:14:00.021253,1.0,1.0,0.0,0.0
2026-05-04T16:14:01.021796,53.5,54.2,6.7,3.5
2026-05-04T16:14:02.022235,51.8,50.9,4.5,4.6
2026-05-04T16:14:03.022677,0.0,2.0,1.0,1.0
2026-05-04T16:14:04.023172,22.6,21.9,1.0,1.1
2026-05-04T16:14:05.023680,64.7,63.3,6.6,8.1
2026-05-04T16:14:06.024168,46.9,47.0,6.4,4.4
2026-05-04T16:14:07.024548,1.0,0.0,0.0,0.0
2026-05-04T16:14:08.025118,46.8,45.9,3.4,4.4
2026-05-04T16:14:09.025799,70.7,69.7,9.4,8.2
2026-05-04T16:14:10.026260,30.8,29.2,3.2,1.1
2026-05-04T16:14:11.026612,0.0,1.0,0.0,0.0
2026-05-04T16:14:12.027007,73.2,70.5,3.4,4.9
2026-05-04T16:14:13.027607,78.9,77.4,6.7,7.4
2026-05-04T16:14:14.028147,10.7,8.9,0.0,1.0
2026-05-04T16:14:15.028708,18.0,17.6,3.1,3.0
2026-05-04T16:14:16.029514,87.0,82.0,7.9,2.4
2026-05-04T16:14:17.029988,72.0,66.7,9.6,3.5
2026-05-04T16:14:18.030391,1.0,0.0,0.0,0.0
2026-05-04T16:14:19.031292,46.5,46.1,4.4,2.2
2026-05-04T16:14:20.031922,94.2,88.9,5.1,5.9
2026-05-04T16:14:21.032346,50.0,48.5,5.6,3.3
2026-05-04T16:14:22.032713,0.0,0.0,0.0,1.0
2026-05-04T16:14:23.033433,76.2,75.0,7.8,6.0
2026-05-04T16:14:24.034275,96.0,95.1,7.2,6.5
2026-05-04T16:14:25.034882,22.2,21.8,3.2,2.1
2026-05-04T16:14:26.035339,7.9,7.0,0.0,1.0
2026-05-04T16:14:27.035932,99.0,99.0,11.0,8.8
2026-05-04T16:14:28.036501,91.9,92.1,4.9,3.7
2026-05-04T16:14:29.036987,1.0,1.0,0.0,0.0
2026-05-04T16:14:30.037582,37.0,35.7,4.4,2.2
2026-05-04T16:14:31.038336,99.0,99.0,13.5,8.5
2026-05-04T16:14:32.038719,63.0,63.7,7.1,4.6
