Random waveform, supplied seed
Total number of intervals = 90 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694)
Average QPS expected = 53249
Timestamp start: 1778413743693
Timestamp end: 1778415093998

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      249.2   112.8    86.8   159.5   171.3   239.8   268.3   284.3   295.4   310.0   328.1   358.5   436.3  1085.8  5848.6   6868.2     6927
read      283.4   136.9    80.4   131.1   146.7   264.8   324.0   356.5   379.3   405.2   438.4   492.5   617.7  1285.8  3509.5  52884.9    52892
read      271.1   207.2    80.4   131.6   146.6   244.4   297.1   326.3   346.6   371.0   401.5   451.7   667.6  2552.0  8890.6  98864.9    98921
read      265.0   108.4    74.4   131.5   146.6   252.7   306.8   333.3   351.3   371.6   397.4   434.4   512.2   701.2  2914.9  61007.5    61129
read      278.6   109.9    80.4   135.9   152.4   269.4   321.2   347.9   367.3   389.4   416.2   456.1   542.1   746.7  2569.8  40537.1    40613
read      284.2   134.7    74.4   131.9   147.6   264.3   323.8   356.7   380.0   407.0   441.5   498.9   635.4  1149.2  3185.5  53180.9    53226
read      279.7   111.5    80.4   136.8   153.5   271.2   322.3   348.5   367.3   388.8   415.1   454.5   537.6   782.8  2623.4  38552.7    38560
read      281.7   185.5    74.4   136.0   151.8   255.7   308.5   337.7   359.1   384.5   418.3   476.7   731.2  2431.7  6396.5 103240.7   103465
read      258.1   116.6    80.4   130.3   144.9   239.0   290.0   317.9   338.0   361.3   390.3   433.4   568.7  1063.4  2803.3 104794.9   104758
read      257.7   109.5    80.4   130.1   144.5   239.8   291.9   320.2   340.6   363.8   392.4   433.3   534.5   896.4  2555.3  94728.9    94759
read      278.4   104.8    80.4   138.0   154.2   270.6   321.2   346.8   365.6   386.5   411.6   449.8   529.1   694.5  1846.7  37764.9    37799
read      250.7   126.3    86.8   155.2   168.0   240.3   270.4   286.9   298.1   313.1   332.0   363.0   455.8  1503.6  5473.2   8322.5     8296
read      279.9   314.7    80.4   130.4   145.1   249.0   303.9   332.1   351.1   372.8   400.0   440.6   550.1  5710.2  9043.4  69337.3    69443
read      268.8   137.4    86.8   153.3   169.6   260.3   294.7   313.6   327.1   342.9   364.4   397.6   485.6  1714.0  5370.3  12549.4    12517
read      315.9   147.9    74.4   135.1   153.8   304.1   367.7   400.8   424.2   451.5   487.6   543.0   649.4  1030.2  3105.3  43572.3    43591
read      307.6   120.0    86.8   154.7   175.8   301.2   350.4   376.0   394.3   415.1   440.0   480.5   567.5   834.7  3626.9  20374.7    20430
read      281.8   247.9    80.4   132.8   148.2   250.4   303.3   332.5   353.3   377.6   409.3   461.9   711.1  3882.9  7623.4  93777.1    93758
read      256.2    98.1    86.8   155.5   170.2   247.2   279.4   296.8   310.2   324.9   344.3   376.0   462.5  1071.6  3012.4  10447.9    10485
read      283.5   110.5    86.8   153.3   172.3   275.5   317.5   339.6   355.6   373.5   397.4   432.8   523.0  1014.4  2999.2  16504.7    16518
read      273.6   244.0    74.4   128.1   142.2   242.5   296.5   324.9   344.5   367.7   396.9   444.0   674.5  3755.1  7519.5  83168.2    83230
read      234.3    77.6    86.8   157.1   167.4   223.8   249.8   265.3   275.7   290.4   309.0   338.5   419.2   886.5  2306.6   5452.9     5484
read      271.2   136.7    74.4   133.4   148.7   257.6   308.7   333.8   350.9   371.1   397.5   438.0   588.1  1494.6  3983.7  55523.1    55611
read      294.5   142.0    80.4   149.6   169.6   285.1   330.6   355.1   372.1   393.0   419.0   459.5   564.3  1326.7  5621.8  20713.5    20774
read      273.0   224.6    74.4   130.1   144.9   244.3   296.3   324.5   344.5   368.2   398.0   446.0   635.9  3529.9  6785.7  96634.8    96726
read      276.9   100.4    80.4   139.8   157.2   271.4   317.5   341.0   357.9   376.6   400.8   435.7   511.0   691.7  2193.2  32405.5    32442
read      259.7   107.2    80.4   129.0   143.4   245.6   297.9   324.2   342.3   363.3   389.7   430.9   550.5   829.6  2076.7  73241.6    73039
read      254.1   106.2    74.4   127.6   141.4   241.0   292.9   318.8   336.4   356.2   380.5   418.9   513.1   721.3  2268.2  74111.4    74055
read      259.9   104.7    80.4   132.2   147.2   254.2   299.9   321.2   336.4   353.5   374.4   409.8   495.1   679.6  2749.6  51184.9    51197
read      260.1   103.0    80.4   131.1   145.7   251.0   301.2   325.0   340.8   359.4   382.3   418.4   502.5   706.5  2608.1  59391.6    59442
read      265.4   102.8    80.4   134.2   150.0   259.4   301.8   324.2   340.6   360.2   385.1   423.9   511.8   787.3  2469.2  35728.1    35654
read      260.9   130.4    74.4   126.2   140.2   241.4   297.1   325.6   345.0   368.3   397.5   444.5   585.5  1203.5  3615.5  78684.7    78747
read      272.8   123.7    80.4   131.8   147.3   263.8   312.9   338.5   356.9   377.8   404.9   448.7   543.9   871.5  3204.4  42261.3    42212
read      273.5   129.8    80.4   128.0   142.4   260.0   313.6   341.9   363.1   388.0   419.4   468.3   583.3  1063.0  3660.0  52465.1    52488
read      269.9   110.0    80.4   134.4   150.1   263.8   308.5   331.9   348.0   368.3   394.0   432.5   526.8   806.6  2883.9  36909.1    36950
read      267.2    98.9    86.8   143.8   162.3   260.7   298.5   318.6   333.7   350.5   372.6   407.6   495.8   889.9  2748.4  16736.0    16762
read      280.3   271.8    74.4   129.9   144.4   246.2   300.4   328.3   347.0   369.6   398.2   446.1   707.0  4197.8  7642.4  79448.7    79473
read      262.8   109.2    74.4   130.8   145.6   251.2   303.9   329.4   346.2   366.8   392.4   430.8   521.7   691.3  2326.3  61415.8    61431
read      257.4   112.2    80.4   128.9   143.0   238.7   292.7   321.5   341.7   364.7   393.0   434.1   541.6   869.2  2945.2  87296.5    87172
read      268.7   126.0    80.4   136.8   152.0   249.7   300.5   328.3   347.6   371.1   400.6   449.1   589.7  1214.6  3527.6 108041.9   108181
read      258.0   108.2    80.4   129.0   143.1   241.3   295.6   323.8   343.0   365.0   391.9   431.4   533.2   808.2  2617.7  80433.8    80515
read      280.8   120.7    80.4   138.1   154.4   272.2   319.9   345.1   363.9   385.5   412.5   454.9   548.6   941.2  3771.9  37226.5    37149
read      274.8   112.6    86.8   152.5   169.4   266.9   304.6   324.1   338.9   356.5   378.7   415.1   510.0  1251.0  3723.4  13444.6    13444
