Random waveform, supplied seed
Total number of intervals = 90 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694)
Average QPS expected = 53249
Timestamp start: 1778411097723
Timestamp end: 1778412448025

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      236.4   106.3    86.8   152.4   164.9   225.5   252.4   268.0   279.1   292.9   311.4   340.5   423.9  1253.5  3649.5   6954.3     6927
read      278.7   125.4    80.4   128.8   143.9   261.9   321.2   353.2   375.4   401.2   433.0   485.9   593.1   942.8  2655.5  52894.2    52892
read      255.6   132.8    74.4   126.8   140.8   233.6   286.1   315.2   336.0   360.1   390.6   435.4   580.5  1216.0  3874.3  98877.6    98921
read      265.6   139.5    80.4   129.7   144.4   249.6   304.2   331.9   351.0   372.9   400.3   440.5   537.9  1186.3  4870.9  61246.9    61129
read      281.7   131.0    80.4   133.4   150.1   270.8   324.2   352.0   371.3   393.9   421.9   464.8   570.8  1038.7  3237.4  40571.7    40613
read      277.0   122.0    74.4   128.4   143.4   260.6   320.3   352.4   374.5   400.2   431.5   480.9   583.6   820.5  2075.8  53202.9    53226
read      279.8   116.7    74.4   135.2   151.9   271.5   322.8   349.2   367.9   389.5   415.7   455.5   542.3   864.2  3076.0  38521.1    38560
read      265.9   126.5    80.4   132.4   147.8   244.7   296.3   324.9   345.3   370.0   401.1   455.3   621.0  1224.2  2916.2 103465.3   103465
read      318.9  5623.3    74.4   128.7   144.0   252.3   307.9   339.0   362.7   392.6   436.5   537.4   807.2  1889.2  8135.9 104749.6   104758
read      248.0   109.3    74.4   125.3   138.9   229.9   281.0   309.0   328.3   350.1   377.1   418.5   524.5   875.2  2729.4  94718.5    94759
read      265.6   106.1    80.4   133.5   149.2   258.3   302.9   326.4   343.2   363.7   389.1   427.1   510.4   713.2  2874.7  37775.4    37799
read      230.8   114.0    86.8   145.7   158.0   220.0   247.0   262.6   273.5   288.2   306.9   337.7   426.0   994.5  4276.4   8323.3     8296
read      256.5   127.2    80.4   126.0   139.7   239.3   293.3   319.7   338.0   359.1   385.5   427.1   562.7  1193.0  3987.5  69316.4    69443
read      268.4   152.6    80.4   156.6   173.6   258.7   293.5   312.5   326.0   342.3   364.6   397.8   476.2  1111.0  7883.1  12530.1    12517
read      277.5   113.9    74.4   136.5   152.1   267.4   317.7   344.4   364.1   386.6   414.3   458.3   551.1   720.5  2455.4  43441.1    43591
read      297.4   108.2    86.8   157.2   177.3   289.4   336.7   361.9   379.1   398.8   424.5   463.8   544.5   704.8  2533.0  20460.4    20430
read      281.9   260.7    74.4   131.0   145.8   246.9   300.6   329.9   350.6   374.8   406.5   463.5   777.1  4140.3  7563.6  93887.6    93758
read      263.1    97.0    86.8   160.7   175.3   254.2   287.8   306.0   318.7   335.5   356.5   389.9   471.7  1006.4  3181.4  10464.0    10485
read      272.2   106.1    86.8   149.7   167.1   263.3   304.1   325.3   340.6   359.1   382.3   419.2   509.2   916.3  2760.3  16487.7    16518
read      268.0   238.4    74.4   127.0   140.6   235.9   288.8   316.9   336.6   359.2   387.7   431.6   630.2  3699.7  6840.7  83188.7    83230
read      237.5   106.7    93.8   158.3   169.4   224.2   250.7   266.6   277.7   292.4   312.3   344.6   442.7  1165.5  3594.0   5506.9     5484
read      276.2   125.4    80.4   128.4   142.9   258.3   315.5   345.9   368.7   395.4   429.4   492.6   615.3   940.6  2754.2  55607.1    55611
read      282.5   142.2    80.4   146.2   165.1   272.7   315.6   338.5   354.8   373.1   397.9   435.3   547.4  1394.7  6956.9  20775.5    20774
read      269.0   232.3    80.4   128.3   142.2   237.4   289.6   317.9   338.3   362.1   392.5   440.4   655.5  3534.1  6890.8  96698.9    96726
read      272.7   102.8    80.4   137.1   154.1   267.7   311.8   334.5   350.3   369.5   394.1   431.1   514.8   730.1  2675.1  32450.3    32442
read      261.2   111.7    80.4   128.6   142.8   244.2   300.2   329.1   348.6   371.2   399.1   440.2   544.8   811.2  2431.9  73044.1    73039
read      257.4   112.5    74.4   128.0   141.9   240.9   295.8   324.1   343.6   366.0   393.2   432.1   525.7   721.8  2639.2  74089.5    74055
read      265.4   101.8    80.4   132.7   148.3   256.8   307.0   331.9   348.8   368.6   393.3   429.0   505.5   649.6  1908.8  51152.7    51197
read      263.9   110.4    80.4   130.5   145.3   251.0   304.8   331.4   349.5   370.6   396.9   434.0   524.1   752.8  2673.9  59365.3    59442
read      266.9   103.0    80.4   134.3   150.1   259.6   304.7   328.3   345.0   365.6   391.1   428.5   509.4   778.9  2554.3  35634.3    35654
read      259.5   126.7    74.4   127.3   140.6   237.1   293.8   323.9   344.7   369.2   399.6   448.2   584.7  1186.5  3237.9  78981.8    78747
read      271.2   113.8    74.4   132.3   147.6   260.7   311.1   337.8   357.1   379.3   406.9   450.0   542.8   773.3  2744.3  42226.4    42212
read      277.0   133.6    80.4   127.9   142.2   258.2   315.1   346.2   369.9   397.3   431.8   492.4   630.4  1143.2  3158.0  52429.5    52488
read      274.9   112.4    80.4   135.7   152.0   266.7   315.0   340.4   358.7   379.2   404.0   443.2   532.4   867.6  2424.5  36937.7    36950
read      274.8   108.9    86.8   149.2   166.6   267.0   307.3   328.4   343.3   361.8   384.7   421.0   516.3  1057.6  3557.5  16724.7    16762
read      268.4   180.1    80.4   128.1   142.2   242.2   297.4   327.2   347.8   371.8   401.3   447.8   621.5  2681.1  4427.0  79422.2    79473
read      266.2   107.7    80.4   131.9   147.5   253.5   308.0   335.2   353.8   374.1   399.9   436.0   519.4   701.3  2422.8  61511.2    61431
read      259.2   119.3    74.4   128.6   142.8   240.0   294.6   323.9   344.5   368.2   396.8   437.6   547.0   907.2  3313.4  87284.5    87172
read      264.9   132.1    74.4   131.8   146.9   243.7   296.2   325.3   345.9   370.4   400.9   450.8   594.7  1267.6  3827.1 108099.0   108181
read      259.1   109.8    74.4   128.0   142.0   240.6   296.3   326.3   346.7   370.5   399.1   440.0   539.6   805.5  2151.9  80506.8    80515
read      273.0   115.2    80.4   135.5   151.6   264.1   311.9   336.9   355.0   375.4   401.4   438.9   529.4   875.3  3159.7  37026.2    37149
read      262.1   102.1    86.8   150.1   165.9   254.2   289.8   309.2   322.3   339.2   360.7   393.9   480.1   963.5  2979.4  13494.3    13444
read      261.2   138.0    80.4   127.9   141.5   239.5   295.5   324.5   344.5   367.9   396.8   439.0   584.8  1575.3  4025.7  72145.6    72057
read      256.8   110.2    80.4   128.2   141.9   239.8   295.2   323.8   343.4   366.1   393.4   431.7   513.6   701.9  2666.8  70098.0    70041
read      249.2   107.8    74.4   125.7   139.2   229.7   282.2   311.5   332.0   355.3   384.0   425.4   522.3   812.9  2693.0  90078.4    90162
read      261.2    99.8    80.4   131.8   146.9   252.9   302.6   326.5   342.8   362.2   385.8   420.5   493.5   643.8  2089.7  52068.0    52082
read      284.3   152.3    80.4   140.7   159.3   271.8   319.7   344.9   363.4   384.2   409.4   451.8   576.3  1360.3  6237.1  24226.7    24258
read      269.4   196.0    80.4   129.0   143.2   243.8   297.9   325.8   344.8   367.1   394.6   435.7   611.0  2956.2  4676.0  71991.0    72013
read      263.5   110.4    80.4   131.8   146.9   252.2   304.8   330.6   347.6   367.9   393.0   429.3   509.7   683.9  2665.7  57981.7    58012
read      275.3   113.7    80.4   133.6   149.1   264.2   316.9   344.1   363.8   386.1   413.6   457.7   557.4   861.2  2609.5  45487.7    45398
read      276.2   124.0    80.4   131.9   146.8   261.9   317.0   345.7   366.9   391.1   421.3   468.6   579.4   981.8  3275.4  49994.5    50177
read      278.1   104.8    80.4   140.0   156.8   271.8   319.0   343.0   360.4   379.8   403.5   440.1   526.8   748.6  2593.3  34480.6    34504
read      279.5   147.4    74.4   129.4   143.6   254.1   314.9   348.3   373.4   403.1   441.5   510.1   648.9  1489.5  3648.8  66163.7    66010
read      270.0   134.4    74.4   129.6   143.7   246.9   304.7   334.9   356.5   381.8   415.1   475.0   648.7  1096.8  3738.6  74041.5    73937
read      266.4   102.7    80.4   134.0   149.4   257.1   308.3   333.2   349.8   369.3   393.8   429.5   509.0   684.9  2262.5  55100.1    55020
read      268.9   107.7    80.4   135.1   150.4   259.8   311.0   335.9   352.9   372.0   396.7   432.5   513.8   680.0  2751.4  53316.4    53235
read      264.8   123.5    80.4   132.0   146.9   245.0   298.2   327.2   347.3   371.1   400.8   448.3   581.8  1188.6  3118.9  97778.9    97743
read      245.5    92.3    93.8   162.7   174.9   234.3   262.0   277.3   289.5   303.3   320.3   351.2   434.5   920.7  3953.1   5428.1     5419
read      281.5   105.1    86.8   156.7   174.7   273.5   313.9   335.4   350.3   368.6   391.9   427.5   520.2  1023.2  2541.4  14752.4    14764
read      255.1    92.3    93.8   161.6   175.2   245.6   275.8   293.1   305.7   319.5   339.9   370.8   453.5   889.6  3023.7   7483.3     7451
read      291.3   160.0    80.4   135.0   150.6   271.5   329.1   361.6   385.2   412.7   449.4   511.7   637.5  1543.1  5286.2  48170.9    48208
read      277.3   104.4    86.8   151.8   169.8   268.5   309.6   331.5   346.5   365.9   390.0   427.0   523.0   938.8  3154.4  16165.1    16149
read      281.5   285.4    74.4   129.3   143.4   243.7   298.7   327.5   347.2   370.8   400.4   450.0   810.8  4060.0  7809.3  78966.6    78989
read      281.3   106.1    86.8   149.2   167.4   271.9   315.4   338.9   355.7   374.4   399.7   436.9   542.4   962.4  2507.8  18814.0    18886
read      273.5   262.8    74.4   128.0   141.7   239.2   292.9   320.3   339.5   361.6   389.7   433.6   706.2  3916.1  7689.8  75908.9    75954
read      273.5   118.5    80.4   133.0   147.7   261.4   311.3   338.4   358.5   382.1   412.5   463.7   576.4   823.2  2525.2  44469.2    44409
read      276.6   108.6    86.8   150.8   168.4   267.7   309.4   331.5   346.5   365.5   389.4   426.6   526.6  1000.5  2549.6  16397.6    16431
read      275.9   247.3    80.4   129.6   143.7   243.2   297.9   327.2   347.1   371.1   400.9   450.2   663.2  3841.6  7483.0  85686.9    85707
read      266.4   112.2    80.4   132.3   147.2   253.6   307.7   334.4   352.8   373.1   399.1   435.9   525.3   831.2  2947.0  58222.8    58253
read      273.8   167.0    74.4   132.3   147.6   248.2   301.8   331.4   352.4   377.3   410.6   469.0   693.1  2132.9  4517.1 103885.5   103867
read      268.1   102.4    86.8   145.7   163.5   261.5   298.5   318.6   333.8   350.9   373.1   409.3   496.3   926.5  2848.9  21659.7    21604
read      267.3   231.7    74.4   127.4   141.1   235.4   288.8   317.7   338.4   362.4   392.6   438.4   631.8  3572.1  7223.3  90375.0    90401
read      255.4   129.3    74.4   127.0   140.7   234.7   290.2   319.7   340.5   364.2   393.2   434.9   543.8   928.1  3903.5  84536.9    84467
read      254.5   111.3    74.4   129.0   142.8   233.6   286.9   316.6   337.8   362.1   392.0   434.4   545.7   863.2  2610.0  99787.0    99700
