timestamp,cpu0,cpu1,cpu2,cpu3
2026-05-04T16:11:36.919693,6.1,5.1,10.8,4.0
2026-05-04T16:11:37.920169,0.0,0.0,0.0,0.0
2026-05-04T16:11:38.920532,1.0,2.0,0.0,1.0
2026-05-04T16:11:39.920958,2.0,7.0,3.1,2.0
2026-05-04T16:11:40.921355,1.0,1.0,1.0,0.0
2026-05-04T16:11:41.921941,1.0,0.0,1.0,0.0
2026-05-04T16:11:42.922318,0.0,0.0,0.0,0.0
2026-05-04T16:11:43.922696,0.0,0.0,0.0,0.0
2026-05-04T16:11:44.923069,0.0,1.0,0.0,1.0
2026-05-04T16:11:45.923506,5.2,2.1,2.2,1.0
2026-05-04T16:11:46.923890,1.1,3.2,3.2,0.0
2026-05-04T16:11:47.924302,0.0,0.0,0.0,0.0
2026-05-04T16:11:48.924685,4.1,2.1,0.0,0.0
2026-05-04T16:11:49.925136,8.9,6.7,8.8,2.1
2026-05-04T16:11:50.925551,8.3,6.3,6.4,1.0
2026-05-04T16:11:51.925971,0.0,0.0,1.0,1.0
2026-05-04T16:11:52.926359,19.4,15.0,16.2,2.1
2026-05-04T16:11:53.926817,27.5,19.6,22.4,1.1
2026-05-04T16:11:54.927178,10.9,6.1,7.1,2.0
2026-05-04T16:11:55.927536,0.0,1.0,1.0,0.0
2026-05-04T16:11:56.927964,40.9,32.4,35.8,4.3
2026-05-04T16:11:57.928494,40.0,31.1,33.3,4.4
2026-05-04T16:11:58.928946,4.0,2.0,3.0,1.0
2026-05-04T16:11:59.929299,12.5,11.5,9.9,3.0
2026-05-04T16:12:00.929729,48.3,45.7,43.2,6.8
2026-05-04T16:12:01.930154,40.5,36.6,33.9,4.3
2026-05-04T16:12:02.930529,1.0,3.0,0.0,0.0
2026-05-04T16:12:03.930955,29.9,28.4,33.9,2.1
2026-05-04T16:12:04.931505,55.5,50.8,58.4,8.5
2026-05-04T16:12:05.931967,29.4,25.5,31.5,2.1
2026-05-04T16:12:06.932357,0.0,1.0,0.0,1.0
2026-05-04T16:12:07.932824,52.1,47.8,49.1,5.9
2026-05-04T16:12:08.933224,62.1,57.0,58.7,9.3
2026-05-04T16:12:09.933595,15.4,14.3,13.5,3.1
2026-05-04T16:12:10.934014,7.0,7.9,7.9,1.0
2026-05-04T16:12:11.934566,68.3,60.2,67.5,11.5
2026-05-04T16:12:12.935067,62.7,54.4,61.3,10.3
2026-05-04T16:12:13.935448,0.0,0.0,0.0,0.0
2026-05-04T16:12:14.936215,33.7,29.2,31.1,6.5
2026-05-04T16:12:15.936863,75.0,66.7,68.4,9.9
2026-05-04T16:12:16.937380,50.5,42.2,44.5,7.9
2026-05-04T16:12:17.937739,0.0,0.0,0.0,0.0
2026-05-04T16:12:18.938216,59.3,50.0,56.0,8.2
2026-05-04T16:12:19.938714,81.2,69.6,76.7,15.2
2026-05-04T16:12:20.939189,28.8,25.0,26.7,5.3
2026-05-04T16:12:21.939551,0.0,0.0,0.0,0.0
2026-05-04T16:12:22.940088,85.6,76.0,83.2,10.1
2026-05-04T16:12:23.940789,87.0,78.6,82.6,14.3
2026-05-04T16:12:24.941305,2.0,1.0,3.0,1.0
2026-05-04T16:12:25.942013,26.5,22.0,27.3,2.2
2026-05-04T16:12:26.942640,89.3,75.5,97.1,22.5
2026-05-04T16:12:27.943157,64.4,55.7,69.3,12.7
2026-05-04T16:12:28.943525,0.0,1.0,1.0,0.0
2026-05-04T16:12:29.944151,57.0,55.4,52.5,9.2
2026-05-04T16:12:30.944907,96.1,96.0,91.3,15.6
2026-05-04T16:12:31.945528,42.0,40.6,41.2,5.6
