Random waveform, supplied seed
Total number of intervals = 87 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881)
Average QPS expected = 53076
Timestamp start: 1778262820791
Timestamp end: 1778264121086

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      282.3   189.9    86.8   168.5   187.6   261.8   293.0   312.9   328.6   348.3   376.8   431.8   618.4  2446.9  7963.8   6908.9     6927
read      348.5   335.2    74.4   127.7   144.7   290.2   363.0   407.4   443.1   488.0   548.0   669.5  1567.4  4468.5  8009.7  52862.3    52892
read      297.6   232.2    80.4   132.9   149.4   258.1   314.4   346.9   371.8   402.2   447.9   540.1  1074.7  3126.1  7317.1  98917.8    98921
read      295.9   176.5    74.4   124.3   139.6   268.3   330.5   367.8   397.0   433.4   482.4   558.1   760.9  1756.1  4609.4  61040.9    61129
read      404.4   555.6    74.4   125.3   145.4   312.7   394.9   439.1   470.4   508.2   562.0   684.0  3197.2  7539.4  9739.1  40593.5    40613
read      344.2   302.3    74.4   126.2   143.8   293.6   370.7   417.4   451.8   493.4   547.8   649.8  1264.6  4278.5  7805.7  53243.7    53226
read      367.4   414.7    74.4   126.3   146.4   309.6   388.5   430.0   459.9   494.9   540.8   629.8  1796.0  6430.8 10199.4  38463.1    38560
read      327.9   350.7    74.4   134.8   152.1   269.8   331.5   368.6   397.6   435.9   497.0   624.5  1348.2  6036.5  7972.8 103495.5   103465
read      287.9   297.9    80.4   131.3   147.2   253.3   309.7   342.0   366.6   396.6   438.8   521.1   817.2  2504.4  7951.5 104754.5   104758
read      266.1   143.9    74.4   126.7   141.0   241.2   297.0   327.7   349.6   375.2   410.1   468.8   652.5  1579.0  3835.8  94825.3    94759
read      353.4   344.9    74.4   127.3   148.2   307.0   380.8   420.4   449.0   482.6   526.9   608.1  1432.1  5028.5  8029.1  37721.9    37799
read      258.3   226.1    86.8   149.5   166.0   237.1   268.5   286.4   299.2   317.0   341.3   383.6   598.9  2561.1  9612.8   8286.5     8296
read      326.5   414.5    74.4   122.9   138.3   259.6   326.8   369.5   402.3   444.7   501.2   599.8  1619.8  6399.4  8847.2  69356.1    69443
read      283.7   188.9    74.4   151.6   177.4   270.2   304.5   324.8   340.5   359.6   384.7   429.2   572.2  1704.3  8965.6  12506.1    12517
read      338.8   287.0    74.4   126.9   146.6   303.8   375.0   413.0   439.7   470.8   512.9   587.2  1017.2  4303.8  7909.2  43494.6    43591
read      286.3   110.5    74.4   136.6   160.1   280.7   322.5   345.3   362.2   381.4   405.7   448.2   551.3   848.7  3206.1  20435.0    20430
read      303.5   281.2    74.4   131.1   147.1   257.3   314.7   347.8   373.0   404.4   452.9   547.2  1230.8  3910.2  7709.3  93685.0    93758
read      278.7   143.1    80.4   152.9   173.6   261.3   297.7   320.4   337.4   357.7   385.6   436.6   649.1  1598.7  6702.3  10444.7    10485
read      304.2   168.8    86.8   146.0   171.2   286.3   334.0   359.7   377.6   399.5   429.6   483.8   725.4  2297.6  5260.8  16501.7    16518
read      303.2   300.5    74.4   131.0   147.4   262.5   318.6   349.4   371.7   399.0   436.9   514.5  1092.0  4361.4  7875.5  83178.3    83230
read      242.7   152.4    80.4   154.7   167.9   228.1   254.6   270.0   281.4   294.9   315.9   350.9   479.9  1930.4  7748.7   5454.1     5484
read      310.7   221.8    74.4   126.4   141.9   275.5   340.5   379.9   410.2   448.5   499.1   583.8   909.7  2977.1  6356.4  55521.1    55611
read      308.6   186.6    80.4   139.2   163.8   289.5   342.3   369.9   390.2   413.8   445.2   499.5   725.2  2405.1  7366.6  20751.9    20774
read      293.8   279.1    74.4   130.8   146.3   250.9   306.0   337.6   361.2   390.1   430.4   508.0  1086.9  4110.2  7728.7  96550.2    96726
read      343.8   236.8    80.4   132.5   154.8   311.2   382.9   421.5   449.2   481.7   525.3   600.3  1093.4  2846.8  7263.5  32498.7    32442
read      363.6   375.3    74.4   133.4   151.4   286.4   356.3   401.8   441.1   495.7   579.8   765.1  1981.3  4386.3  8074.3  73112.0    73039
read      326.2   265.4    74.4   133.2   150.9   280.3   343.3   379.8   408.0   446.6   505.5   631.6  1224.0  3509.7  7583.9  74063.7    74055
read      369.9   411.6    74.4   128.0   146.2   295.4   373.7   423.0   460.7   506.9   572.3   709.4  1972.2  5830.7  9066.1  51187.5    51197
read      307.8   256.6    74.4   123.7   139.3   264.7   330.3   370.9   402.2   441.0   492.8   579.7  1012.8  3482.4  7385.8  59495.3    59442
read      364.0   384.0    74.4   126.7   147.8   309.0   383.5   423.2   452.1   486.9   534.8   633.8  1762.0  5318.4  9340.8  35707.9    35654
read      393.6   479.9    74.4   131.4   149.3   284.2   359.0   410.7   457.4   522.8   628.1   927.8  2715.5  5661.4  8462.8  78756.9    78747
read      373.1   383.7    74.4   125.9   146.2   313.1   394.9   439.2   470.8   508.8   561.9   671.1  1860.5  5098.8  8070.8  42167.2    42212
