Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1777412798609
Timestamp end: 1777413998902

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      284.8   218.8    86.8   162.6   180.9   255.0   285.3   303.4   317.7   337.5   367.5   437.6  1021.9  2883.9  7694.3   6886.5     6927
read      360.0   410.8    80.4   134.1   151.3   285.4   352.6   396.9   431.5   475.8   548.2   739.8  1799.1  6280.3  9223.3  52762.4    52892
read      351.2   361.0    80.4   140.2   158.2   280.4   340.3   377.8   409.4   457.1   545.0   753.9  1707.5  4322.4  9196.2  98861.7    98921
read      330.2   384.7    80.4   131.4   146.5   267.0   326.8   365.0   395.7   434.7   495.7   636.6  1635.5  5234.1 10337.5  60977.3    61129
read      282.4   155.2    80.4   136.3   151.4   265.1   312.4   339.2   359.2   382.9   414.3   468.6   679.9  1840.7  4462.7  40590.6    40613
read      293.6   181.0    80.4   131.0   145.8   264.3   319.0   352.5   377.7   408.5   452.0   537.3   878.5  1983.9  5568.7  53162.6    53226
read      401.8   544.9    86.8   137.7   158.2   305.0   377.9   419.7   450.2   489.1   549.2   731.4  3045.7  7369.3  9978.4  38563.5    38560
read      414.3   493.3    80.4   147.5   167.4   304.4   381.4   437.3   488.0   556.8   666.7   921.9  2818.7  6357.9  8846.9 103566.1   103465
read      324.7   254.3    80.4   140.7   158.2   274.8   332.7   368.0   396.8   436.8   506.5   669.5  1204.3  2993.5  7731.4 104726.6   104758
read      285.9   182.7    80.4   134.3   149.6   254.1   307.0   336.2   358.1   385.4   425.2   510.3   955.4  2138.3  3956.1  94835.0    94759
read      385.6   462.0    80.4   136.1   156.9   309.9   386.1   429.1   459.8   496.8   548.9   692.9  2319.2  6909.7  9612.5  37900.0    37799
read      273.9   154.3    86.8   163.6   182.2   257.3   288.3   306.3   319.3   337.0   360.9   402.6   636.4  1897.4  7028.6   8304.1     8296
read      356.4   482.0    74.4   129.3   143.9   261.0   323.0   365.1   400.2   448.4   518.4   737.6  2505.6  6554.5  9666.1  69365.6    69443
read      292.4   241.4    86.8   161.8   182.3   265.3   298.5   318.6   334.7   354.4   384.6   446.6   865.9  3724.5  8008.7  12507.3    12517
read      360.8   424.3    80.4   134.9   154.6   299.0   366.6   403.5   430.6   462.2   503.9   590.4  2278.6  5902.7  8108.2  43588.0    43591
read      296.9   148.6    80.4   147.2   169.9   283.9   325.2   347.7   365.4   386.2   413.9   465.0   694.0  1685.1  5437.7  20495.4    20430
read      337.4   385.5    74.4   137.7   153.8   267.9   323.4   356.6   382.6   418.4   477.8   650.1  2190.4  4870.1  8044.4  93584.5    93758
read      276.3   134.9    86.8   160.9   180.7   261.3   294.1   313.2   327.2   344.2   368.8   412.7   651.5  1505.3  4841.4  10504.8    10485
read      300.8   202.4    80.4   151.6   175.6   281.1   322.2   345.3   363.0   383.5   410.2   459.4   816.2  2443.1  7934.2  16584.5    16518
read      351.3   498.4    80.4   134.5   150.3   265.0   320.3   351.8   375.8   409.0   465.2   647.0  2884.5  6442.7  8605.0  83006.9    83230
read      260.1   145.9    93.8   167.4   182.4   245.2   271.9   287.9   298.9   313.9   334.0   369.6   542.7  1762.8  7213.1   5473.3     5484
read      325.3   270.7    80.4   131.8   147.6   272.5   334.6   374.5   406.5   448.0   506.9   655.9  1356.7  3165.2  7638.3  55539.3    55611
read      315.1   174.0    86.8   149.3   173.7   294.3   343.1   370.4   390.8   414.8   447.2   506.2   873.1  2043.0  5955.6  20788.0    20774
read      357.6   450.8    80.4   138.7   155.3   271.4   328.2   362.8   390.8   429.5   498.5   687.9  2768.9  5335.8  8043.2  96679.5    96726
read      320.3   252.9    86.8   142.6   162.5   288.4   340.0   371.1   395.2   424.3   462.2   528.4  1042.0  3638.2  7736.5  32488.6    32442
read      356.5   497.3    80.4   129.5   144.2   260.1   321.2   362.5   396.6   443.4   514.5   748.9  2652.3  5120.2  8347.1  73074.5    73039
read      310.2   350.6    80.4   129.0   143.1   255.7   317.9   359.0   392.9   435.1   492.5   595.9  1228.1  3913.4  7814.5  74111.1    74055
read      286.9   187.4    80.4   129.8   144.3   260.5   313.8   344.6   368.6   397.3   434.8   498.3   858.6  2306.9  5483.5  51179.1    51197
read      362.6   463.1    80.4   134.9   151.5   277.7   341.9   384.2   417.9   460.9   527.2   727.7  2301.7  6360.0 11973.8  59487.9    59442
read      372.2   446.6    80.4   138.6   160.4   307.0   375.6   413.9   440.9   472.9   519.0   627.7  2043.1  6931.2 11096.1  35603.7    35654
read      396.8   524.6    80.4   135.6   152.4   279.7   351.9   405.9   453.3   514.6   617.2   882.0  2945.8  6889.0 10454.3  78740.5    78747
read      351.0   341.7    80.4   131.8   150.7   301.3   376.8   418.1   446.8   479.6   523.6   603.2  1496.9  4713.2  8030.3  42341.1    42212
read      317.6   292.8    80.4   129.6   144.9   274.6   334.2   371.0   399.7   434.8   482.5   566.4  1200.7  4087.5  7877.8  52407.7    52488
read      358.0   383.5    80.4   135.6   155.8   304.5   373.6   411.6   438.5   469.8   513.5   610.2  1674.2  5961.3 10180.3  36929.1    36950
read      327.1   559.4    86.8   148.2   172.6   279.6   320.5   343.5   360.9   381.3   409.6   467.0  1219.9  8076.7 18729.1  16828.3    16762
read      361.0   476.8    80.4   136.7   152.6   267.6   323.9   357.8   385.1   423.5   494.6   767.1  2783.5  5662.0  9084.0  79514.8    79473
read      347.8   375.9    80.4   134.4   150.6   278.3   343.8   387.5   422.5   467.0   534.7   697.2  1803.9  4508.0  8379.3  61433.5    61431
read      354.8   399.5    80.4   135.9   152.0   271.6   333.1   370.1   401.1   449.4   543.6   811.3  2046.8  4497.4  8051.5  87194.3    87172
read      285.2   221.4    74.4   135.0   150.1   251.2   303.3   331.9   353.0   379.1   417.3   496.9   902.9  3111.0  7579.4 108172.1   108181
read      258.9   131.3    80.4   130.1   143.6   240.1   293.6   320.2   338.9   360.7   388.3   431.7   578.8  1277.5  4050.5  80535.4    80515
read      388.7   477.1    86.8   138.3   159.8   310.5   383.5   424.8   454.8   491.3   544.8   700.9  2458.0  7043.9 10352.8  37188.7    37149
read      296.8   203.2    86.8   156.0   179.2   273.4   311.1   332.7   348.3   369.0   397.3   454.5   868.1  2841.3  7708.2  13436.1    13444
read      396.6   560.6    80.4   132.7   148.8   275.2   339.8   383.1   421.2   475.2   569.6   917.3  3237.6  6634.9  9149.5  72082.7    72057
read      300.0   252.9    80.4   130.4   144.5   257.3   316.3   352.6   382.6   422.7   478.1   578.3   944.9  3133.2  8131.5  70077.1    70041
read      288.5   235.9    80.4   133.9   148.6   249.9   303.2   332.0   352.9   378.5   415.7   497.5  1141.6  3103.1  7214.6  90158.5    90162
read      297.7   217.4    80.4   132.4   147.0   268.6   323.6   356.9   382.7   414.9   458.2   532.0   842.0  2707.6  7735.3  52090.8    52082
read      324.9   205.5    80.4   150.3   173.7   303.7   356.9   386.3   406.5   431.6   464.2   520.8   847.3  2350.3  7780.0  24296.7    24258
read      391.0   549.9    80.4   134.0   149.5   272.9   339.6   386.3   427.1   483.2   573.5   821.9  3205.4  6733.5  8832.8  72048.1    72013
read      301.5   236.7    80.4   131.9   146.3   266.4   325.0   361.2   389.3   423.9   467.9   542.7   866.4  3391.4  7635.2  58025.7    58012
read      300.0   215.4    80.4   136.3   151.6   273.4   325.7   357.1   380.5   409.1   448.2   511.5   845.7  2917.0  7528.5  45453.1    45398
read      335.2   369.5    80.4   137.0   153.1   281.7   341.3   378.1   406.8   443.1   494.6   607.8  1402.8  5115.8 11655.6  50110.7    50177
read      458.4   583.2    86.8   152.1   178.3   341.7   424.6   473.7   513.8   571.4   680.8   987.7  3186.0  7700.7 10244.3  34406.3    34504
read      426.7   594.2    80.4   137.9   154.7   290.6   363.8   416.2   461.5   524.8   636.2  1045.1  3468.6  7236.3  8160.2  65954.5    66010
read      352.6   324.2    80.4   135.7   151.6   276.9   349.3   403.0   449.8   509.4   600.8   780.7  1539.7  3800.1  7727.1  73887.1    73937
read      305.1   180.8    86.8   135.8   151.1   276.9   336.0   372.1   400.5   435.6   481.8   557.7   788.3  2152.3  4732.0  55073.2    55020
read      305.7   184.7    86.8   136.8   152.4   277.4   335.4   370.8   398.3   431.6   475.0   549.2   817.4  2233.9  4920.8  53264.9    53235
read      305.1   282.8    80.4   138.0   152.9   255.8   308.9   338.8   361.6   390.0   431.1   531.6  1554.3  3489.1  7561.3  97812.8    97743
read      276.2   121.1    93.8   181.1   197.4   263.1   290.8   307.1   318.6   334.3   354.5   391.3   541.7  1370.7  5028.7   5371.3     5419
read      310.5   144.1    93.8   168.7   193.2   297.4   337.2   359.8   375.3   395.6   422.0   465.7   693.4  1656.7  4599.7  14749.6    14764
read      280.4   122.3    93.8   178.4   197.0   269.4   298.0   314.9   327.2   342.1   362.7   396.7   525.0  1279.5  6082.5   7412.9     7451
read      333.5   185.1    80.4   141.4   159.7   300.6   374.8   419.2   451.4   489.5   539.3   622.9   826.5  1649.7  4342.7  48132.3    48208
read      314.4   161.3    93.8   167.9   192.1   298.1   340.0   363.3   379.8   399.6   427.5   472.0   763.5  1992.9  5813.6  16191.5    16149
read      322.6   405.3    80.4   135.8   150.6   258.2   312.5   341.3   362.8   388.8   425.8   507.8  2620.9  5009.5  8023.7  78958.3    78989
read      313.3   439.6    86.8   162.6   186.0   292.5   334.5   359.3   377.3   400.2   431.0   483.7   776.4  1988.2  9788.3  18894.7    18886
read      285.4   194.3    80.4   138.1   152.3   254.7   308.0   336.5   357.3   382.7   419.5   497.5   877.2  2653.0  4256.0  75832.1    75954
