Random waveform, supplied seed
Total number of intervals = 320 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072)
Average QPS expected = 57359
Timestamp start: 1777463841418
Timestamp end: 1777465441783

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.3   156.0   101.3   161.0   174.5   230.6   253.0   267.2   277.2   291.4   312.3   349.9   526.1  2048.9  7707.1   6866.6     6927
read      300.0   233.9    80.4   131.6   147.2   271.9   329.5   362.9   388.1   420.6   465.2   538.3   737.3  3472.5  8131.6  52775.8    52892
read      444.3   906.1    80.4   137.7   155.2   278.4   336.1   371.3   400.5   441.4   509.7   729.0  6245.6  8317.6  9797.0  98840.8    98921
read      335.4   353.5    80.4   128.8   144.3   277.1   354.4   400.4   435.1   478.1   536.2   635.9  1280.5  5352.9  9994.3  61160.8    61129
read      394.7   637.6    80.4   133.5   152.5   302.5   378.7   417.4   445.1   477.0   519.1   599.7  3021.2  8355.9 13783.2  40670.6    40613
read      408.4   636.2    80.4   131.3   149.9   308.5   399.1   447.9   481.0   519.9   572.0   677.9  2997.4  8247.2 15184.7  53205.4    53226
read      358.7   528.1    80.4   133.7   152.8   303.0   375.9   412.6   438.0   467.4   505.9   575.0  1516.4  8336.8 17295.8  38542.8    38560
read      439.4   629.9    80.4   141.0   159.9   289.5   355.2   397.0   431.8   483.7   584.2  1500.6  3495.6  7286.0  9378.1 103391.2   103465
read      265.4   173.0    80.4   127.5   140.7   234.1   292.0   322.2   343.4   369.1   402.2   463.6   731.4  2350.3  4529.7 104709.6   104758
read      263.6   149.5    74.4   127.6   140.8   236.0   296.2   326.4   346.6   372.0   403.7   460.7   663.6  1638.1  4312.1  94897.2    94759
read      313.8   219.2    80.4   137.2   154.0   286.1   339.6   372.6   397.4   427.7   467.2   537.2   989.4  2932.6  7075.9  37894.8    37799
read      273.3   174.4    93.8   167.4   184.1   255.3   283.7   299.6   312.9   329.0   352.9   403.4   631.1  2247.4  7371.1   8366.8     8296
read      669.3   793.9    80.4   148.1   169.8   336.8   548.6   760.2   959.8  1295.8  1692.4  2403.0  3481.1  7680.9  8631.5  69413.8    69443
read      287.4   141.1    93.8   160.2   180.6   272.8   310.8   332.1   347.3   369.2   397.4   440.3   576.6  1789.2  4379.8  12538.6    12517
read      376.0   394.3    80.4   136.3   155.7   317.3   398.0   439.9   468.9   503.8   548.2   637.3  1924.4  5648.4  8115.0  43441.4    43591
read      321.8   202.3    86.8   149.4   171.9   298.9   347.1   374.4   394.2   417.0   447.1   505.0  1020.1  2484.1  6940.3  20437.6    20430
read      413.4   662.9    80.4   134.8   151.2   277.1   341.2   377.1   406.6   449.6   528.1   927.2  3595.2  7753.0 13330.1  93990.8    93758
read      253.5   115.9    86.8   164.0   182.2   242.4   265.9   278.8   289.8   303.3   322.2   362.9   489.3  1272.3  5039.4  10471.8    10485
read      266.7    93.6    86.8   152.5   174.2   260.9   289.9   306.2   317.6   333.3   354.3   393.6   501.8  1156.2  3347.5  16431.6    16518
read      321.4   367.0    74.4   127.7   141.8   257.3   323.4   364.4   397.5   439.3   495.5   587.8  1676.7  5452.6  8038.9  83228.6    83230
read      244.1   123.0   101.3   162.4   177.6   230.0   252.0   265.9   275.2   289.6   308.8   346.1   499.0  1310.6  7584.9   5515.8     5484
read      337.5   539.0    80.4   127.7   142.2   272.6   337.2   372.9   401.0   434.7   479.2   554.5  1939.9  8021.7 19159.0  55370.4    55611
read      270.3    91.7    86.8   145.5   164.7   266.5   299.1   316.7   330.0   345.1   367.0   402.5   519.3   941.8  2081.8  20896.4    20774
read      299.5   288.9    74.4   128.7   142.7   248.7   313.4   348.4   373.3   405.0   456.6   566.1  1238.2  3852.0  8553.2  96740.0    96726
read      278.1   107.7    80.4   140.8   157.0   273.4   313.4   335.0   350.1   368.9   396.1   441.4   558.9   946.7  2388.9  32611.4    32442
read      301.1   254.5    80.4   125.1   138.5   257.3   324.7   363.3   394.4   432.5   482.2   559.1  1155.6  3248.4  7722.1  73191.0    73039
read      292.3   216.7    80.4   124.4   137.9   254.4   320.5   359.5   390.3   428.5   476.5   552.9   875.3  2860.3  5571.7  74102.6    74055
read      275.4   131.7    80.4   127.1   140.7   262.7   317.3   346.2   367.6   393.7   427.3   474.9   586.5  1173.0  2816.3  51099.6    51197
read      285.4   194.3    80.4   125.3   138.9   260.9   320.3   353.3   378.4   409.8   449.5   506.4   675.9  2713.4  6987.0  59517.0    59442
read      273.4   111.1    80.4   135.9   151.2   268.3   311.5   334.6   350.9   370.5   397.4   436.9   530.3   925.5  2805.6  35688.6    35654
read      293.4   240.3    80.4   124.0   137.2   250.1   317.7   357.0   389.4   430.2   482.1   562.0   850.3  3383.4  7290.3  78597.6    78747
read      274.2   118.2    80.4   131.2   145.7   267.2   315.3   340.3   358.9   380.9   409.7   453.0   543.5  1069.0  2936.0  42187.2    42212
read      279.1   166.4    74.4   126.8   140.3   261.9   317.5   346.7   369.5   397.1   432.0   485.8   626.1  1880.0  3489.4  52428.8    52488
read      275.8   108.5    80.4   137.2   152.5   272.6   316.4   338.5   354.5   373.1   399.0   437.7   532.3   827.5  2791.5  37076.4    36950
read      269.6   133.2    93.8   151.6   172.2   260.8   292.0   309.8   321.8   339.1   363.3   404.4   523.8  1054.5  6770.0  16804.8    16762
read      736.2  1073.4    80.4   152.7   176.2   309.7   383.7   460.7   636.9  1542.7  2528.0  3010.7  4766.8  7976.2 10081.3  79199.0    79473
read      270.1   126.8    80.4   127.4   140.8   253.0   312.7   341.2   362.6   388.2   421.7   473.9   590.3   995.4  3291.4  61295.4    61431
read      296.2   188.0    80.4   128.4   142.0   251.2   318.2   360.5   396.7   446.6   514.9   621.5   872.1  1403.6  2922.9  87229.0    87172
read      315.1   369.2    80.4   132.3   147.2   249.3   306.1   337.3   360.7   389.9   431.2   528.8  2316.8  3639.4  8002.3 108207.2   108181
