#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      252.7    95.9    93.8   150.6   164.9   241.4   275.2   294.8   309.6   326.7   349.1   387.9   477.8   797.2  3226.5  30070.7    30000  1777922185517  1777922195671
read      260.1   111.1    93.8   155.8   170.4   247.4   282.0   301.7   316.3   334.6   358.4   396.5   494.8  1155.4  4127.2  29952.0    30005  1777922197187  1777922207312
read      252.9   110.1    93.8   151.6   164.2   237.7   273.5   294.3   310.2   328.7   352.9   392.9   497.2  1276.4  3816.0  30085.5    30010  1777922208827  1777922218941
read      263.4   105.3   101.3   157.0   171.0   249.2   286.3   307.6   322.6   342.1   367.8   408.2   507.5  1090.2  3362.5  29976.5    30015  1777922220456  1777922230563
read      255.8   112.3    86.8   152.5   165.5   240.4   276.8   298.0   314.2   333.7   359.2   398.5   498.3  1102.1  4451.1  29930.1    30020  1777922232078  1777922242184
read      273.5   136.6    86.8   159.9   174.9   258.7   296.5   318.5   335.0   354.2   379.1   420.8   525.2  1635.5  4955.4  30113.0    30025  1777922243702  1777922253817
read      260.9   122.5   101.3   155.7   169.0   245.2   281.6   302.9   318.3   337.7   362.7   401.4   507.7  1323.1  5095.4  29975.2    30030  1777922255338  1777922265450
read      258.1   128.5   101.3   153.8   167.1   241.6   277.0   297.4   313.4   332.1   356.5   396.6   518.7  1690.5  4404.1  29922.7    30035  1777922266968  1777922277069
read      263.1   123.4    93.8   156.5   170.6   247.3   283.4   304.5   319.7   339.2   364.5   403.6   514.3  1699.8  4392.1  30064.4    30040  1777922278585  1777922288691
read      263.0   119.8   101.3   156.1   169.4   246.1   283.6   305.3   320.8   341.2   367.6   409.6   537.4  1435.2  3703.3  29954.9    30045  1777922290207  1777922300312
read      268.3   136.0    93.8   156.5   170.8   250.4   288.1   309.6   325.2   344.7   370.7   415.7   575.0  2003.6  4371.8  30099.2    30050  1777922301829  1777922311936
read      263.3   138.6    93.8   155.0   168.7   246.2   282.7   303.9   319.2   339.0   365.1   406.8   545.1  1881.9  5295.9  29967.3    30055  1777922313452  1777922323555
read      255.1   124.3    93.8   151.3   164.3   239.1   275.6   296.9   313.3   332.5   357.4   397.7   504.3  1207.0  4070.4  30035.8    30060  1777922325071  1777922335191
read      271.3   120.5    93.8   157.2   172.0   254.7   292.4   314.5   331.2   351.1   378.6   427.2   587.2  1419.8  3709.1  30089.7    30065  1777922336707  1777922346810
read      269.5   117.8    93.8   155.5   170.0   252.4   291.1   313.3   330.0   350.2   377.5   426.8   589.0  1498.2  3965.2  30058.2    30070  1777922348326  1777922358431
read      271.6   129.3    93.8   158.4   173.2   255.0   292.9   315.0   331.5   351.1   377.9   423.9   561.4  1605.5  4006.9  30075.0    30075  1777922359946  1777922370047
read      257.9   127.8    93.8   153.8   166.8   241.7   277.8   298.9   315.0   334.6   360.1   400.4   508.2  1334.3  5393.7  30065.3    30080  1777922371561  1777922381663
read      262.8   124.9    93.8   154.2   167.9   246.1   283.8   305.9   321.6   341.9   368.0   409.7   527.9  1621.6  4574.4  29986.7    30085  1777922383178  1777922393281
read      284.7   188.3   101.3   154.3   168.4   251.5   292.3   316.6   335.8   360.4   396.7   476.4   954.7  2528.4  4815.9  30067.3    30090  1777922394796  1777922404904
read      282.5   163.8    93.8   156.7   171.9   257.5   297.3   320.9   339.8   363.3   395.8   460.4   763.4  2141.5  5126.0  30143.9    30095  1777922406421  1777922416524
read      284.4   157.3    93.8   161.7   177.0   262.9   302.5   325.8   343.3   365.3   394.8   448.2   667.8  2340.6  5068.3  30077.7    30100  1777922418042  1777922428150
read      268.6   128.0    86.8   157.3   172.8   253.8   290.0   310.5   325.2   343.4   368.7   412.1   549.3  1554.4  4681.1  30159.8    30105  1777922429667  1777922439771
read      272.5   128.8    86.8   156.7   172.6   256.5   293.8   315.3   331.6   350.8   377.7   425.8   588.4  1441.8  4918.1  29997.9    30110  1777922441287  1777922451395
read      271.1   147.9    86.8   150.0   164.8   247.1   285.8   308.9   326.5   348.7   383.0   451.5   740.8  1829.7  4510.3  30036.3    30115  1777922452919  1777922463030
read      253.6   108.3    93.8   152.8   166.5   240.3   274.1   293.7   308.5   325.7   348.5   389.8   497.2   974.5  3768.9  30034.6    30120  1777922464549  1777922474660
read      262.9   133.9    93.8   152.7   166.8   245.5   281.3   301.7   317.2   337.2   364.9   415.0   600.9  1359.4  5085.3  30150.6    30125  1777922476176  1777922486287
read      274.0   155.8    93.8   154.6   170.3   253.8   290.8   312.3   328.4   347.9   376.3   431.0   685.9  2008.6  5530.2  30178.1    30130  1777922487812  1777922497916
read      257.4   111.7    86.8   148.3   162.9   244.6   282.2   303.2   318.2   337.2   361.7   400.3   502.6   905.2  4229.3  30158.6    30135  1777922499431  1777922509538
read      256.4   106.4    93.8   150.5   165.0   243.3   278.4   298.2   313.3   331.3   355.1   395.6   508.0  1186.8  3840.4  30066.4    30140  1777922511053  1777922521156
read      262.7   102.5    93.8   155.0   170.4   251.7   287.3   307.6   321.5   340.1   363.9   400.5   491.4   823.6  3886.0  30155.1    30145  1777922522672  1777922532778
