Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777216183444
Timestamp end: 1777217983755

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.9   592.5    80.4   128.6   142.5   238.2   309.1   354.0   387.4   431.9   518.1  1142.8  3367.4  7169.6  8687.0  79602.0    79473
read      276.1   158.5    74.4   124.2   137.9   253.0   315.5   350.0   373.3   399.6   432.1   484.1   637.3  1917.0  4000.6  61412.7    61431
read      302.8   283.9    74.4   124.6   138.7   249.3   320.5   363.9   395.8   433.8   486.2   583.4  1066.8  4329.7  7780.6  87269.1    87172
read      290.0   276.4    74.4   127.9   141.5   236.3   295.8   333.1   361.3   396.8   449.3   550.0  1200.9  3453.8  8000.0 108111.1   108181
read      282.1   211.1    74.4   123.2   136.7   245.1   310.9   349.6   376.9   409.2   451.9   520.4   770.3  2863.0  6344.9  80408.2    80515
read      311.8   233.8    74.4   129.1   146.4   284.3   350.6   383.9   406.5   433.5   466.4   515.3   809.1  3496.5  7218.1  37111.8    37149
read      272.5   142.5    86.8   152.8   174.7   259.1   294.1   316.0   331.4   347.7   370.5   406.0   509.5  1556.2  6690.5  13483.1    13444
read      358.6   543.9    74.4   129.4   143.4   252.4   322.3   366.3   398.5   436.4   490.3   613.0  3308.0  6988.0  8736.0  72055.4    72057
read      286.5   162.1    74.4   128.2   141.4   256.1   324.0   363.6   391.6   423.5   463.6   526.4   697.9  1732.1  3676.6  70042.3    70041
read      302.4   222.6    80.4   130.0   144.0   252.0   322.8   370.1   405.1   447.6   502.1   597.9   941.5  2772.7  6231.1  90226.7    90162
read      277.9   131.3    80.4   130.6   144.6   261.1   321.9   353.1   373.9   397.8   427.0   470.5   587.5  1241.7  3351.1  52106.7    52082
read      305.2   155.5    86.8   140.8   161.1   289.5   344.7   372.7   392.8   415.7   445.1   493.3   682.4  1866.0  4089.7  24295.8    24258
read      380.1   619.3    80.4   131.1   145.8   255.8   326.7   370.1   402.5   444.9   505.2   668.8  3808.0  7528.2  9170.5  72061.0    72013
read      290.3   146.4    74.4   131.3   145.5   267.0   333.0   367.8   392.4   421.2   458.2   515.5   676.5  1401.3  3421.3  58069.0    58012
read      290.7   142.8    80.4   135.8   150.5   273.1   334.5   365.2   386.7   411.3   444.1   495.2   624.4  1401.1  4029.3  45287.9    45398
read      288.1   135.4    80.4   132.6   146.9   269.3   331.6   364.0   387.1   414.3   449.9   503.8   636.0  1250.4  2865.3  50067.0    50177
read      317.6   196.4    80.4   137.2   155.0   297.1   360.0   394.2   419.5   449.1   484.5   539.6   703.7  2360.2  7171.7  34474.9    34504
read      310.2   227.0    80.4   129.6   144.0   267.7   340.8   381.1   410.6   448.6   499.2   593.3   971.7  2871.2  6754.5  65945.7    66010
read      300.5   193.6    74.4   129.3   143.3   261.0   334.1   375.4   405.5   442.9   491.2   575.3   846.0  2252.4  5025.6  73931.5    73937
read      288.4   145.6    80.4   130.6   144.6   265.3   331.7   366.2   390.5   419.1   456.1   511.4   662.8  1438.2  3190.6  54982.7    55020
read      287.6   151.4    80.4   130.4   144.3   264.8   330.6   364.2   387.8   415.6   452.2   506.8   649.0  1639.3  3788.8  53291.9    53235
read      319.1   376.2    80.4   128.8   142.7   242.8   305.8   343.6   373.2   412.9   471.0   594.8  2002.3  4121.6  7958.7  97688.9    97743
read      237.2   100.1    93.8   162.4   174.7   226.8   249.2   262.9   272.7   287.0   305.3   333.9   407.1  1225.6  4213.2   5420.4     5419
read      283.7   129.2    86.8   151.2   172.5   271.3   315.1   336.4   351.2   369.5   393.5   431.4   567.5  1522.4  3751.2  14756.6    14764
read      251.7   190.4    93.8   159.7   174.6   237.7   265.2   281.7   294.7   309.6   327.5   357.7   452.7  1369.0 10197.5   7479.4     7451
read      302.4   216.1    74.4   132.9   148.8   271.6   331.2   362.9   387.2   418.3   463.1   543.7   820.1  2987.2  7526.5  48257.3    48208
read      261.2    98.5    86.8   148.0   168.3   249.1   284.0   305.4   319.8   337.7   361.4   399.1   493.6  1083.8  2849.5  16153.9    16149
read      261.6   122.3    74.4   126.7   140.1   238.3   298.0   329.8   351.6   377.2   410.0   464.0   590.8   908.5  3245.3  79005.1    78989
read      249.7   130.4    80.4   143.0   161.3   239.2   266.2   282.6   295.3   311.6   332.6   367.8   466.1  1826.9  4249.9  18905.4    18886
read      367.1   610.7    74.4   126.6   140.3   239.2   307.0   350.7   383.5   422.8   479.5   698.4  3592.8  7612.1  9824.8  75935.5    75954
read      312.1   201.6    80.4   129.3   145.8   285.3   355.5   393.6   420.8   451.6   488.1   543.9   738.1  2566.9  6670.5  44489.1    44409
read      270.6   131.4    80.4   144.0   163.9   259.2   300.4   320.2   335.0   351.3   372.9   408.4   515.6  1581.7  4567.9  16383.8    16431
read      875.1  1436.3    74.4   153.2   166.4   220.2   259.8   498.0  1349.5  2271.1  2936.8  3993.1  6806.8  9189.3 11057.4  85720.8    85707
read      532.9   839.7    74.4   138.0   155.9   271.0   385.5   460.3   520.4   629.8  1052.6  2148.3  4263.5  8011.3 10100.8  58327.5    58253
read      872.2  1403.3    74.4   154.2   167.4   222.8   267.1   679.3  1369.1  2221.5  2894.8  3908.4  6534.5  9039.8 11260.9 103939.9   103867
read      487.2   919.3    80.4   138.7   154.0   252.4   317.6   357.0   394.0   480.7   813.6  1720.0  5252.0  8137.5 11163.1  21652.7    21604
read      866.9  1424.2    74.4   152.5   165.4   218.6   258.8   534.3  1339.4  2211.6  2893.9  3934.1  6781.2  9281.2 11090.1  90371.2    90401
