timestamp,cpu0,cpu1,cpu2,cpu3
2026-05-04T16:14:37.197946,4.0,4.0,4.0,3.0
2026-05-04T16:14:38.198421,6.0,2.0,1.0,1.0
2026-05-04T16:14:39.198858,0.0,1.0,1.0,0.0
2026-05-04T16:14:40.199265,4.0,13.1,3.0,19.2
2026-05-04T16:14:41.199629,2.0,0.0,1.0,0.0
2026-05-04T16:14:42.200278,0.0,0.0,1.0,0.0
2026-05-04T16:14:43.200694,0.0,0.0,0.0,1.0
2026-05-04T16:14:44.201139,0.0,2.0,0.0,1.0
2026-05-04T16:14:45.201605,1.0,0.0,0.0,0.0
2026-05-04T16:14:46.201988,0.0,0.0,1.1,0.0
2026-05-04T16:14:47.202362,3.2,1.1,2.2,1.0
2026-05-04T16:14:48.202776,1.0,1.0,0.0,1.0
2026-05-04T16:14:49.203172,1.0,1.0,0.0,1.0
2026-05-04T16:14:50.203555,8.5,6.5,6.6,1.0
2026-05-04T16:14:51.203993,8.7,7.8,7.8,1.1
2026-05-04T16:14:52.204356,0.0,0.0,1.0,0.0
2026-05-04T16:14:53.204799,5.0,4.0,2.0,1.0
2026-05-04T16:14:54.205189,22.4,20.6,18.3,1.1
2026-05-04T16:14:55.205572,20.2,17.5,15.8,2.2
2026-05-04T16:14:56.205937,0.0,0.0,0.0,1.0
2026-05-04T16:14:57.206317,19.2,15.5,20.2,2.1
2026-05-04T16:14:58.206729,37.6,29.4,38.2,2.2
2026-05-04T16:14:59.207136,20.4,16.8,21.2,2.1
2026-05-04T16:15:00.207464,0.0,0.0,0.0,0.0
2026-05-04T16:15:01.207900,37.8,35.7,31.4,4.4
2026-05-04T16:15:02.208303,49.6,43.9,41.3,9.9
2026-05-04T16:15:03.208691,15.2,12.6,12.6,2.0
2026-05-04T16:15:04.209160,4.0,3.9,3.0,2.0
2026-05-04T16:15:05.209688,55.1,49.6,57.7,7.6
2026-05-04T16:15:06.210192,52.5,46.4,54.9,5.4
2026-05-04T16:15:07.210553,0.0,2.0,1.0,0.0
2026-05-04T16:15:08.210999,21.9,21.9,21.2,4.1
2026-05-04T16:15:09.211545,59.0,61.6,60.0,8.9
2026-05-04T16:15:10.211971,41.4,44.4,42.0,6.5
2026-05-04T16:15:11.212357,0.0,0.0,0.0,0.0
2026-05-04T16:15:12.212961,45.9,43.2,43.1,7.0
2026-05-04T16:15:13.213624,65.8,63.9,64.1,11.3
2026-05-04T16:15:14.214123,28.7,27.8,26.9,4.3
2026-05-04T16:15:15.214476,0.0,0.0,0.0,1.0
2026-05-04T16:15:16.214976,65.5,69.6,64.0,11.1
2026-05-04T16:15:17.215508,68.4,72.0,70.4,13.4
2026-05-04T16:15:18.215964,6.9,7.8,5.9,2.0
2026-05-04T16:15:19.216617,18.6,16.7,17.6,3.1
2026-05-04T16:15:20.217135,82.3,71.7,77.7,13.4
2026-05-04T16:15:21.217522,66.4,57.3,62.8,8.3
2026-05-04T16:15:22.217897,0.0,0.0,0.0,0.0
2026-05-04T16:15:23.218584,44.1,43.3,44.7,6.8
2026-05-04T16:15:24.219305,84.5,80.7,83.8,13.9
2026-05-04T16:15:25.219847,43.7,42.9,43.3,5.7
2026-05-04T16:15:26.220261,1.0,0.0,1.0,0.0
2026-05-04T16:15:27.220954,71.8,69.9,69.6,15.7
2026-05-04T16:15:28.221643,88.2,87.6,86.8,13.5
2026-05-04T16:15:29.222233,18.0,20.4,17.8,2.1
2026-05-04T16:15:30.222764,9.0,9.0,9.8,1.0
2026-05-04T16:15:31.223285,97.0,96.0,92.2,8.6
2026-05-04T16:15:32.223727,90.0,91.0,85.6,11.6
2026-05-04T16:15:33.224096,1.0,0.0,0.0,2.0
