,timestamp,event,job,cores,timestamp_ms,timestamp_ms_norm_ms,timestamp_ms_norm_s
0,2026-05-10 11:49:13.098401,update_cores,memcached,"[0,1,2]",1778413753098,0,0.0
1,2026-05-10 11:49:13.098488,start,memcached,"[0, 1, 2]",1778413753098,0,0.0
2,2026-05-10 11:49:13.247549,start,radix,[3],1778413753247,149,0.149
3,2026-05-10 11:49:13.569523,update_cores,memcached,"[0,2]",1778413753569,471,0.471
4,2026-05-10 11:49:13.585811,pause,radix,,1778413753585,487,0.487
5,2026-05-10 11:49:13.738554,start,barnes,"[1,3]",1778413753738,640,0.64
6,2026-05-10 11:49:14.055059,update_cores,memcached,[0],1778413754055,957,0.957
7,2026-05-10 11:49:14.073638,unpause,radix,,1778413754073,975,0.975
8,2026-05-10 11:49:14.091268,update_cores,radix,[2],1778413754091,993,0.993
9,2026-05-10 11:49:19.529636,update_cores,memcached,"[0,2]",1778413759529,6431,6.431
10,2026-05-10 11:49:19.560590,pause,radix,,1778413759560,6462,6.462
11,2026-05-10 11:49:34.337563,update_cores,memcached,"[0,1,2]",1778413774337,21239,21.239
12,2026-05-10 11:49:34.383863,unpause,radix,,1778413774383,21285,21.285
13,2026-05-10 11:49:34.560344,update_cores,radix,[3],1778413774560,21462,21.462
14,2026-05-10 11:49:34.603912,pause,barnes,,1778413774603,21505,21.505
15,2026-05-10 11:50:04.776621,update_cores,memcached,"[0,2]",1778413804776,51678,51.678
16,2026-05-10 11:50:04.805877,pause,radix,,1778413804805,51707,51.707
17,2026-05-10 11:50:04.826254,unpause,barnes,,1778413804826,51728,51.728
18,2026-05-10 11:50:49.408573,update_cores,memcached,"[0,1,2]",1778413849408,96310,96.31
19,2026-05-10 11:50:49.451302,unpause,radix,,1778413849451,96353,96.353
20,2026-05-10 11:50:49.499256,pause,barnes,,1778413849499,96401,96.401
21,2026-05-10 11:50:58.850530,end,radix,,1778413858850,105752,105.752
22,2026-05-10 11:50:59.120707,start,blackscholes,[3],1778413859120,106022,106.022
23,2026-05-10 11:51:34.425608,update_cores,memcached,"[0,2]",1778413894425,141327,141.327
24,2026-05-10 11:51:34.447321,unpause,barnes,,1778413894447,141349,141.349
25,2026-05-10 11:51:34.479972,pause,blackscholes,,1778413894479,141381,141.381
26,2026-05-10 11:51:49.248790,update_cores,memcached,[0],1778413909248,156150,156.15
27,2026-05-10 11:51:49.265715,unpause,blackscholes,,1778413909265,156167,156.167
28,2026-05-10 11:51:49.283763,update_cores,blackscholes,[2],1778413909283,156185,156.185
29,2026-05-10 11:52:03.724753,end,barnes,,1778413923724,170626,170.626
30,2026-05-10 11:52:03.738357,update_cores,blackscholes,"[1,2,3]",1778413923738,170640,170.64
31,2026-05-10 11:52:04.360660,update_cores,memcached,"[0,1,2]",1778413924360,171262,171.262
32,2026-05-10 11:52:04.378710,update_cores,blackscholes,[3],1778413924378,171280,171.28
33,2026-05-10 11:52:19.166774,update_cores,memcached,"[0,2]",1778413939166,186068,186.068
