,timestamp,event,job,cores,timestamp_ms,timestamp_ms_norm_ms,timestamp_ms_norm_s
0,2026-05-10 11:04:56.426119,update_cores,memcached,"[0,1,2]",1778411096426,0,0.0
1,2026-05-10 11:04:56.426173,start,memcached,"[0, 1, 2]",1778411096426,0,0.0
2,2026-05-10 11:04:56.578654,start,radix,[3],1778411096578,152,0.152
3,2026-05-10 11:04:56.899631,update_cores,memcached,"[0,2]",1778411096899,473,0.473
4,2026-05-10 11:04:56.916100,pause,radix,,1778411096916,490,0.49
5,2026-05-10 11:04:57.055745,start,barnes,"[1,3]",1778411097055,629,0.629
6,2026-05-10 11:04:57.371867,update_cores,memcached,[0],1778411097371,945,0.945
7,2026-05-10 11:04:57.388878,unpause,radix,,1778411097388,962,0.962
8,2026-05-10 11:04:57.407102,update_cores,radix,[2],1778411097407,981,0.981
9,2026-05-10 11:05:13.374789,update_cores,memcached,"[0,2]",1778411113374,16948,16.948
10,2026-05-10 11:05:13.409532,pause,radix,,1778411113409,16983,16.983
11,2026-05-10 11:05:28.494664,update_cores,memcached,"[0,1,2]",1778411128494,32068,32.068
12,2026-05-10 11:05:28.532793,unpause,radix,,1778411128532,32106,32.106
13,2026-05-10 11:05:28.559330,update_cores,radix,[3],1778411128559,32133,32.133
14,2026-05-10 11:05:28.600026,pause,barnes,,1778411128600,32174,32.174
15,2026-05-10 11:05:56.045916,end,radix,,1778411156045,59619,59.619
16,2026-05-10 11:05:56.253705,start,blackscholes,[3],1778411156253,59827,59.827
17,2026-05-10 11:05:58.387565,update_cores,memcached,"[0,2]",1778411158387,61961,61.961
18,2026-05-10 11:05:58.412039,unpause,barnes,,1778411158412,61986,61.986
19,2026-05-10 11:05:58.444867,pause,blackscholes,,1778411158444,62018,62.018
20,2026-05-10 11:06:43.339795,update_cores,memcached,"[0,1,2]",1778411203339,106913,106.913
21,2026-05-10 11:06:43.382959,pause,barnes,,1778411203382,106956,106.956
22,2026-05-10 11:06:43.412270,unpause,blackscholes,,1778411203412,106986,106.986
23,2026-05-10 11:07:00.034655,update_cores,memcached,"[0,2]",1778411220034,123608,123.608
24,2026-05-10 11:07:00.053958,unpause,barnes,,1778411220053,123627,123.627
25,2026-05-10 11:07:00.072422,pause,blackscholes,,1778411220072,123646,123.646
26,2026-05-10 11:07:00.392864,update_cores,memcached,[0],1778411220392,123966,123.966
27,2026-05-10 11:07:00.415711,unpause,blackscholes,,1778411220415,123989,123.989
28,2026-05-10 11:07:00.442098,update_cores,blackscholes,[2],1778411220442,124016,124.016
