,timestamp,event,job,cores,timestamp_ms,timestamp_ms_norm_ms,timestamp_ms_norm_s
70,2026-05-10 10:46:41.537921,update_cores,memcached,"[0,3]",1778410001537,273322,273.322
71,2026-05-10 10:46:41.550738,update_cores,canneal,"[1,2]",1778410001550,273335,273.335
72,2026-05-10 10:46:57.508886,update_cores,memcached,"[0,1,3]",1778410017508,289293,289.293
73,2026-05-10 10:46:57.530677,update_cores,canneal,[2],1778410017530,289315,289.315
74,2026-05-10 10:47:56.512365,update_cores,memcached,"[0,3]",1778410076512,348297,348.297
75,2026-05-10 10:47:56.527854,update_cores,canneal,"[1,2]",1778410076527,348312,348.312
76,2026-05-10 10:48:07.354743,end,canneal,,1778410087354,359139,359.139
77,2026-05-10 10:48:07.532616,start,freqmine,"[1,2]",1778410087532,359317,359.317
78,2026-05-10 10:48:13.266075,update_cores,memcached,"[0,1,3]",1778410093266,365051,365.051
79,2026-05-10 10:48:13.283467,update_cores,freqmine,[2],1778410093283,365068,365.068
80,2026-05-10 10:48:26.537238,update_cores,memcached,"[0,3]",1778410106537,378322,378.322
81,2026-05-10 10:48:26.551269,update_cores,freqmine,"[1,2]",1778410106551,378336,378.336
82,2026-05-10 10:49:11.382856,update_cores,memcached,[0],1778410151382,423167,423.167
83,2026-05-10 10:49:11.397914,update_cores,freqmine,"[1,2,3]",1778410151397,423182,423.182
84,2026-05-10 10:49:26.460403,update_cores,memcached,"[0,2,3]",1778410166460,438245,438.245
85,2026-05-10 10:49:26.477825,update_cores,freqmine,[1],1778410166477,438262,438.262
86,2026-05-10 10:50:41.404871,update_cores,memcached,"[0,3]",1778410241404,513189,513.189
87,2026-05-10 10:50:41.420286,update_cores,freqmine,"[1,2]",1778410241420,513205,513.205
88,2026-05-10 10:50:56.474107,update_cores,memcached,[0],1778410256474,528259,528.259
89,2026-05-10 10:50:56.488915,update_cores,freqmine,"[3,1,2]",1778410256488,528273,528.273
90,2026-05-10 10:51:11.558743,update_cores,memcached,"[0,1,3]",1778410271558,543343,543.343
91,2026-05-10 10:51:11.581349,update_cores,freqmine,[2],1778410271581,543366,543.366
92,2026-05-10 10:52:11.162189,update_cores,memcached,"[0,3]",1778410331162,602947,602.947
93,2026-05-10 10:52:11.175371,update_cores,freqmine,"[1,2]",1778410331175,602960,602.96
94,2026-05-10 10:53:33.893757,end,freqmine,,1778410413893,685678,685.678
95,2026-05-10 10:53:34.081626,start,streamcluster,"[1,2]",1778410414081,685866,685.866
96,2026-05-10 10:53:56.370569,update_cores,memcached,"[0,1,3]",1778410436370,708155,708.155
97,2026-05-10 10:53:56.392356,update_cores,streamcluster,[2],1778410436392,708177,708.177
98,2026-05-10 10:54:56.270533,update_cores,memcached,"[0,3]",1778410496270,768055,768.055
99,2026-05-10 10:54:56.287337,update_cores,streamcluster,"[1,2]",1778410496287,768072,768.072
100,2026-05-10 10:54:56.603965,update_cores,memcached,[0],1778410496603,768388,768.388
101,2026-05-10 10:54:56.617631,update_cores,streamcluster,"[1,2,3]",1778410496617,768402,768.402
102,2026-05-10 10:55:41.465746,update_cores,memcached,"[0,2]",1778410541465,813250,813.25
103,2026-05-10 10:55:41.483779,update_cores,streamcluster,"[1,3]",1778410541483,813268,813.268
104,2026-05-10 10:55:56.551675,update_cores,memcached,[0],1778410556551,828336,828.336
105,2026-05-10 10:55:56.590447,update_cores,streamcluster,"[1,2,3]",1778410556590,828375,828.375
106,2026-05-10 10:56:11.352331,update_cores,memcached,"[0,1,3]",1778410571352,843137,843.137
107,2026-05-10 10:56:11.377233,update_cores,streamcluster,[2],1778410571377,843162,843.162
108,2026-05-10 10:56:26.442519,update_cores,memcached,"[0,3]",1778410586442,858227,858.227
109,2026-05-10 10:56:26.455102,update_cores,streamcluster,"[1,2]",1778410586455,858240,858.24
110,2026-05-10 10:56:26.771421,update_cores,memcached,[0],1778410586771,858556,858.556
111,2026-05-10 10:56:26.785820,update_cores,streamcluster,"[1,2,3]",1778410586785,858570,858.57
112,2026-05-10 10:56:41.549989,update_cores,memcached,"[0,2,3]",1778410601549,873334,873.334
113,2026-05-10 10:56:41.569210,update_cores,streamcluster,[1],1778410601569,873354,873.354
114,2026-05-10 10:56:59.035578,update_cores,memcached,"[0,3]",1778410619035,890820,890.82
115,2026-05-10 10:56:59.050092,update_cores,streamcluster,"[1,2]",1778410619050,890835,890.835
116,2026-05-10 10:57:11.400933,update_cores,memcached,[0],1778410631400,903185,903.185
117,2026-05-10 10:57:11.415107,update_cores,streamcluster,"[3,1,2]",1778410631415,903200,903.2
118,2026-05-10 10:57:26.481128,update_cores,memcached,"[0,1,3]",1778410646481,918266,918.266
119,2026-05-10 10:57:26.504018,update_cores,streamcluster,[2],1778410646504,918289,918.289
120,2026-05-10 10:58:11.353932,update_cores,memcached,"[0,3]",1778410691353,963138,963.138
121,2026-05-10 10:58:11.367670,update_cores,streamcluster,"[1,2]",1778410691367,963152,963.152
122,2026-05-10 10:58:11.986439,update_cores,memcached,[0],1778410691986,963771,963.771
123,2026-05-10 10:58:12.000555,update_cores,streamcluster,"[3,1,2]",1778410692000,963785,963.785
124,2026-05-10 10:58:26.468499,update_cores,memcached,"[0,2,3]",1778410706468,978253,978.253
125,2026-05-10 10:58:26.492931,update_cores,streamcluster,[1],1778410706492,978277,978.277
126,2026-05-10 10:59:07.715254,end,streamcluster,,1778410747715,1019500,1019.5
127,2026-05-10 10:59:08.013507,start,vips,[1],1778410748013,1019798,1019.798
128,2026-05-10 10:59:11.341758,update_cores,memcached,"[0,3]",1778410751341,1023126,1023.126
129,2026-05-10 10:59:11.356452,update_cores,vips,"[1,2]",1778410751356,1023141,1023.141
130,2026-05-10 10:59:33.624213,update_cores,memcached,[0],1778410773624,1045409,1045.409
131,2026-05-10 10:59:33.637585,update_cores,vips,"[1,2,3]",1778410773637,1045422,1045.422
132,2026-05-10 10:59:41.478590,update_cores,memcached,"[0,1,2]",1778410781478,1053263,1053.263
133,2026-05-10 10:59:41.498587,update_cores,vips,[3],1778410781498,1053283,1053.283
134,2026-05-10 11:00:03.785202,end,vips,,1778410803785,1075570,1075.57
135,2026-05-10 11:00:03.802945,update_cores,memcached,"[0,1,2,3]",1778410803802,1075587,1075.587
